0x16f
0x202
0x207
0x233
0x263
0x438
0x4b0
0x6ed
0x6f8
0x708
0x8b4
0x8bd
0x8f4
0x8ff
0xa11
0xa58
0xa8c
0xad6
0xadf
0xae5
0xb25
0xd35
0xf96
0x14e8
0x1538
0x1586
0x1670
0x183d
0x1869
0x187a
0x1894
0x19d6
0x1b20
0x1c25
0x1c47
