0x21	0x30313030
0x62	0x66666666666666
0x72	0x3230333562
0x7f	0x35373830
0x88	0x64646530333134
0x9f	0x613762333134
0xaa	0x37353738
0xb7	0x6464313436
0xca	0x383732
0xce	0x6431343631
0xd7	0x3537
0xe1	0x65353637
0xec	0x33353738
0xf5	0x34626138336131
0x102	0x32353738303633
0x10c	0x31306631
0x123	0x3439383031
0x137	0x39373561
0x13c	0x623134
0x144	0x363537
0x14e	0x3038
0x15a	0x333537383036
0x163	0x3634626362
0x17c	0x62353931
0x187	0x3537383036
0x18f	0x6135636235
0x195	0x313436
0x1a6	0x3839623431
0x1b2	0x37353738
0x1ba	0x3930
0x1bf	0x62623134
0x1d0	0x6436326564
0x1d7	0x313436313035
0x1de	0x6635
0x1e6	0x32666465333862
0x1f5	0x353738
0x1fc	0x61623337313534
0x20f	0x363030
0x216	0x64356233343135
0x22c	0x64356236313031
0x235	0x36313036386435
0x23f	0x363034
0x270	0x33356233343135
0x286	0x64356236313031
0x28f	0x36313036
0x294	0x3035
0x299	0x363034
0x2e3	0x383338
0x2f1	0x35373830
0x319	0x353035
0x331	0x31363830313536
0x33c	0x393537
0x35d	0x3033
0x373	0x353039
0x38c	0x33356233343135
0x398	0x3235373630
0x3a2	0x64356236313032
0x3b8	0x66666666666666
0x3c0	0x66666666666666
0x3c8	0x66666666666666
0x3d0	0x66666666666666
0x3d8	0x66666666666666
0x40a	0x3935363562
0x440	0x33356233343135
0x44d	0x35373630
0x456	0x64356236313032
0x469	0x363034
0x492	0x33356233343135
0x4a8	0x64356236313032
0x4b0	0x3936
0x4be	0x66666666666666
0x4c6	0x66666666666666
0x4ce	0x66666666666666
0x4d6	0x66666666666666
0x4de	0x66666666666666
0x4fc	0x66666666666666
0x504	0x66666666666666
0x50c	0x66666666666666
0x514	0x66666666666666
0x51c	0x66666666666666
0x54f	0x35363562363034
0x584	0x33356233343135
0x590	0x65353736
0x59a	0x64356236313032
0x5a2	0x3636313037
0x5ad	0x363034
0x5ba	0x66313636306666
0x5e2	0x33356233343135
0x5ee	0x64353736303030
0x5f8	0x64356236313033
0x60b	0x303035
0x60f	0x333431
0x622	0x64356236313033
0x638	0x66666666666666
0x640	0x66666666666666
0x648	0x66666666666666
0x650	0x66666666666666
0x658	0x66666666666666
0x68f	0x363034
0x6c0	0x33356233343135
0x6cd	0x35373630
0x6d6	0x64356236313033
0x6e4	0x653536356236
0x6f6	0x66666666666666
0x6fe	0x66666666666666
0x706	0x66666666666666
0x70e	0x66666666666666
0x716	0x66666666666666
0x722	0x66666666666666
0x72a	0x66666666666666
0x732	0x66666666666666
0x73a	0x66666666666666
0x742	0x66666666666666
0x76a	0x33356233343135
0x776	0x31353736
0x780	0x64356236313033
0x788	0x39363130
0x78d	0x3134
0x793	0x363034
0x7c4	0x33356233343135
0x7d0	0x653537363030
0x7da	0x64356236313034
0x7e3	0x3630
0x7f0	0x66666666666666
0x7f8	0x66666666666666
0x800	0x66666666666666
0x808	0x66666666666666
0x810	0x66666666666666
0x82f	0x3237
0x835	0x363034
0x85e	0x33356233343135
0x86b	0x353736
0x874	0x64356236313034
0x881	0x3730
0x887	0x363034
0x8b8	0x33356233343135
0x8ce	0x64356236313034
0x8db	0x333835
0x8e1	0x303035
0x8e5	0x333431
0x8ef	0x3537363030
0x8f8	0x64356236313034
0x905	0x663935
0x90b	0x363034
0x918	0x66666666666666
0x920	0x66666666666666
0x928	0x66666666666666
0x930	0x66666666666666
0x938	0x66666666666666
0x944	0x66666666666666
0x94c	0x66666666666666
0x954	0x66666666666666
0x95c	0x66666666666666
0x964	0x66666666666666
0x98c	0x33356233343135
0x998	0x3235373630
0x9a2	0x64356236313034
0x9aa	0x6136313063
0x9b1	0x35363562363034
0x9ff	0x383338
0xa0d	0x3537
0xa30	0x66353635623530
0xa4d	0x31363830313536
0xa79	0x3033
0xa8f	0x353039
0xaa8	0x33356233343135
0xabe	0x64356236313035
0xad4	0x66666666666666
0xadc	0x66666666666666
0xae4	0x66666666666666
0xaec	0x66666666666666
0xaf4	0x66666666666666
0xb25	0x35383536
0xb2b	0x363034
0xb5c	0x33356233343135
0xb68	0x613537
0xb72	0x64356236313036
0xb88	0x66666666666666
0xb90	0x66666666666666
0xb98	0x66666666666666
0xba0	0x66666666666666
0xba8	0x66666666666666
0xbc6	0x66666666666666
0xbce	0x66666666666666
0xbd6	0x66666666666666
0xbde	0x66666666666666
0xbe6	0x66666666666666
0xc05	0x38383536
0xc0b	0x363034
0xc34	0x33356233343135
0xc4a	0x64356236313036
0xc60	0x66666666666666
0xc68	0x66666666666666
0xc70	0x66666666666666
0xc78	0x66666666666666
0xc80	0x66666666666666
0xc9f	0x3066353635
0xca5	0x303035
0xca9	0x333431
0xcb3	0x35373630303038
0xcbc	0x64356236313036
0xcc5	0x363030
0xcd2	0x66666666666666
0xcda	0x66666666666666
0xce2	0x66666666666666
0xcea	0x66666666666666
0xcf2	0x66666666666666
0xd11	0x363735363562
0xd1b	0x363030
0xd31	0x3930
0xd38	0x66313638313536
0xd41	0x363034
0xd5b	0x38313532
0xd67	0x34333732363136
0xd79	0x36623635366530
0xdb3	0x363030
0xdcd	0x3930
0xdd4	0x66313631353135
0xde2	0x37353736303030
0xdec	0x64356236313037
0xdfd	0x34333536356239
0xe13	0x363030
0xe1f	0x363030
0xe39	0x3930
0xe40	0x66313631353135
0xe4f	0x3537363030
0xe58	0x64356236313037
0xe71	0x393035
0xe83	0x363030
0xe8d	0x363030
0xea3	0x3930
0xeaa	0x66666666666666
0xeb2	0x66666666666666
0xeba	0x66666666666666
0xec2	0x66666666666666
0xeca	0x66666666666666
0xed6	0x66666666666666
0xede	0x66666666666666
0xee6	0x66666666666666
0xeee	0x66666666666666
0xef6	0x66666666666666
0xf04	0x66666666666666
0xf0c	0x66666666666666
0xf14	0x66666666666666
0xf1c	0x66666666666666
0xf24	0x66666666666666
0xf38	0x3235
0xf42	0x64356236303034
0xf5b	0x3930
0xf62	0x66313631353135
0xf6e	0x643537
0xf78	0x64356236303030
0xf8f	0x3831
0xf98	0x66303231393136
0xfb3	0x37383035383632
0xfbb	0x36383965326631
0xfc4	0x6639663036
0xfcb	0x66343832616433
0xfd3	0x6431
0xfd8	0x6361
0xfdc	0x303834373931
0xfe4	0x643833326531
0xfed	0x35323562
0x1008	0x3135
0x100d	0x363030
0x1027	0x3930
0x102e	0x66666666666666
0x1036	0x66666666666666
0x103e	0x66666666666666
0x1046	0x66666666666666
0x104e	0x66666666666666
0x105a	0x66666666666666
0x1062	0x66666666666666
0x106a	0x66666666666666
0x1072	0x66666666666666
0x107a	0x66666666666666
0x1088	0x66666666666666
0x1090	0x66666666666666
0x1098	0x66666666666666
0x10a0	0x66666666666666
0x10a8	0x66666666666666
0x10c6	0x64356236303033
0x10df	0x3930
0x10e6	0x66313631353135
0x10fe	0x64356236313038
0x1114	0x61393039313930
0x111e	0x66666666666666
0x112b	0x363030
0x113c	0x643832363030
0x114c	0x66666666666666
0x1154	0x66666666666666
0x115c	0x66666666666666
0x1164	0x66666666666666
0x116c	0x66666666666666
0x1178	0x66666666666666
0x1180	0x66666666666666
0x1188	0x66666666666666
0x1190	0x66666666666666
0x1198	0x66666666666666
0x11c4	0x61393039313930
0x11ce	0x66666666666666
0x11db	0x363030
0x11e8	0x66666666666666
0x11f0	0x66666666666666
0x11f8	0x66666666666666
0x1200	0x66666666666666
0x1208	0x66666666666666
0x1214	0x66666666666666
0x121c	0x66666666666666
0x1224	0x66666666666666
0x122c	0x66666666666666
0x1234	0x66666666666666
0x1266	0x66666666666666
0x126e	0x66666666666666
0x1276	0x66666666666666
0x127e	0x66666666666666
0x1286	0x66666666666666
0x1291	0x30663637393861
0x129f	0x3534
0x12a2	0x33626366
0x12a7	0x383661393363
0x12ae	0x6531653733
0x12b7	0x3934346330
0x12bd	0x613230353434
0x12c7	0x3431323133
0x12fc	0x3238
0x1302	0x66666666666666
0x130a	0x66666666666666
0x1312	0x66666666666666
0x131a	0x66666666666666
0x1322	0x66666666666666
0x1332	0x66666666666666
0x133a	0x66666666666666
0x1342	0x66666666666666
0x134a	0x66666666666666
0x1352	0x66666666666666
0x135d	0x64646632353261
0x1365	0x3162653263
0x136d	0x363963
0x1372	0x303638
0x1376	0x63333738646161
0x1381	0x613766
0x1388	0x34613131
0x1390	0x35356134646635
0x139a	0x336566
0x13c8	0x3336
0x13dd	0x363030
0x13f3	0x3930
0x13fa	0x66666666666666
0x1402	0x66666666666666
0x140a	0x66666666666666
0x1412	0x66666666666666
0x141a	0x66666666666666
0x1429	0x363030
0x143f	0x3930
0x1446	0x66313638313536
0x144f	0x363030
0x1460	0x66666666666666
0x1468	0x66666666666666
0x1470	0x66666666666666
0x1478	0x66666666666666
0x1480	0x66666666666666
0x148c	0x66666666666666
0x1494	0x66666666666666
0x149c	0x66666666666666
0x14a4	0x66666666666666
0x14ac	0x66666666666666
0x14e1	0x363030
0x14fb	0x3930
0x1502	0x66666666666666
0x150a	0x66666666666666
0x1512	0x66666666666666
0x151a	0x66666666666666
0x1522	0x66666666666666
0x152e	0x66666666666666
0x1536	0x66666666666666
0x153e	0x66666666666666
0x1546	0x66666666666666
0x154e	0x66666666666666
0x155c	0x66666666666666
0x1564	0x66666666666666
0x156c	0x66666666666666
0x1574	0x66666666666666
0x157c	0x66666666666666
0x158f	0x6365
0x159a	0x64356236303033
0x15b3	0x3930
0x15ba	0x66313631353135
0x15c7	0x6561
0x15d2	0x64356236303031
0x15e9	0x3831
0x15f2	0x66303231393136
0x160d	0x61653531383466
0x1615	0x613833
0x161a	0x62326231
0x161f	0x37303261636136
0x162a	0x386432
0x1630	0x616630336164
0x1639	0x623133336631
0x1641	0x6465306635
0x164a	0x61303836303430
0x1662	0x3136
0x1671	0x363030
0x1687	0x3930
0x168e	0x66666666666666
0x1696	0x66666666666666
0x169e	0x66666666666666
0x16a6	0x66666666666666
0x16ae	0x66666666666666
0x16ba	0x66666666666666
0x16c2	0x66666666666666
0x16ca	0x66666666666666
0x16d2	0x66666666666666
0x16da	0x66666666666666
0x16e8	0x66666666666666
0x16f0	0x66666666666666
0x16f8	0x66666666666666
0x1700	0x66666666666666
0x1708	0x66666666666666
0x171b	0x393435
0x1726	0x64356236303034
0x173f	0x3930
0x1746	0x66313631353135
0x1753	0x623035
0x175e	0x64356236303031
0x1775	0x3831
0x177e	0x66303231393136
0x1799	0x36393835613032
0x17a4	0x3136
0x17a8	0x363636303264
0x17b3	0x62366462
0x17b9	0x373066393262
0x17c1	0x613464
0x17c8	0x3333
0x17cb	0x30663364
0x17d4	0x666636
0x17ee	0x3135
0x17f3	0x363030
0x1809	0x3930
0x1810	0x66666666666666
0x1818	0x66666666666666
0x1820	0x66666666666666
0x1828	0x66666666666666
0x1830	0x66666666666666
0x183f	0x363034
0x1865	0x34333436353435
0x18b1	0x363030
0x18cb	0x3930
0x18d2	0x66313631353135
0x18df	0x37363537
0x18ea	0x64356236313063
0x1901	0x393035
0x1911	0x363030
0x1922	0x66666666666666
0x192a	0x66666666666666
0x1932	0x66666666666666
0x193a	0x66666666666666
0x1942	0x66666666666666
0x194e	0x66666666666666
0x1956	0x66666666666666
0x195e	0x66666666666666
0x1966	0x66666666666666
0x196e	0x66666666666666
0x199c	0x66666666666666
0x19a4	0x66666666666666
0x19ac	0x66666666666666
0x19b4	0x66666666666666
0x19bc	0x66666666666666
0x19c8	0x66666666666666
0x19d0	0x66666666666666
0x19d8	0x66666666666666
0x19e0	0x66666666666666
0x19e8	0x66666666666666
0x1a1f	0x363030
0x1a35	0x3930
0x1a3c	0x66666666666666
0x1a44	0x66666666666666
0x1a4c	0x66666666666666
0x1a54	0x66666666666666
0x1a5c	0x66666666666666
0x1a68	0x66666666666666
0x1a70	0x66666666666666
0x1a78	0x66666666666666
0x1a80	0x66666666666666
0x1a88	0x66666666666666
0x1a96	0x66666666666666
0x1a9e	0x66666666666666
0x1aa6	0x66666666666666
0x1aae	0x66666666666666
0x1ab6	0x66666666666666
0x1ac9	0x3662353736
0x1ad4	0x64356236303030
0x1ade	0x66666666666666
0x1ae6	0x66666666666666
0x1aee	0x66666666666666
0x1af6	0x66666666666666
0x1afe	0x66666666666666
0x1b0c	0x66666666666666
0x1b14	0x66666666666666
0x1b1c	0x66666666666666
0x1b24	0x66666666666666
0x1b2c	0x66666666666666
0x1b41	0x6137353736
0x1b4c	0x64356238303733
0x1b54	0x66666666666666
0x1b5c	0x66666666666666
0x1b64	0x66666666666666
0x1b6c	0x66666666666666
0x1b74	0x66666666666666
0x1b93	0x3930
0x1b9a	0x66666666666666
0x1ba2	0x66666666666666
0x1baa	0x66666666666666
0x1bb2	0x66666666666666
0x1bba	0x66666666666666
0x1bc6	0x66666666666666
0x1bce	0x66666666666666
0x1bd6	0x66666666666666
0x1bde	0x66666666666666
0x1be6	0x66666666666666
0x1bf1	0x38626530303739
0x1bf9	0x35333136
0x1c06	0x64316664
0x1c0c	0x3466
0x1c17	0x39373232613364
0x1c1f	0x6166
0x1c22	0x336234313836
0x1c29	0x36623634353765
0x1c46	0x3338
0x1c59	0x3831
0x1c62	0x66666666666666
0x1c6a	0x66666666666666
0x1c72	0x66666666666666
0x1c7a	0x66666666666666
0x1c82	0x66666666666666
0x1c96	0x66666666666666
0x1c9e	0x66666666666666
0x1ca6	0x66666666666666
0x1cae	0x66666666666666
0x1cb6	0x66666666666666
0x1ccf	0x363030
0x1ce5	0x3930
0x1cec	0x66666666666666
0x1cf4	0x66666666666666
0x1cfc	0x66666666666666
0x1d04	0x66666666666666
0x1d0c	0x66666666666666
0x1d18	0x66666666666666
0x1d20	0x66666666666666
0x1d28	0x66666666666666
0x1d30	0x66666666666666
0x1d38	0x66666666666666
0x1d46	0x66666666666666
0x1d4e	0x66666666666666
0x1d56	0x66666666666666
0x1d5e	0x66666666666666
0x1d66	0x66666666666666
0x1d79	0x633335373630
0x1d84	0x64356236303030
0x1d8e	0x66666666666666
0x1d96	0x66666666666666
0x1d9e	0x66666666666666
0x1da6	0x66666666666666
0x1dae	0x66666666666666
0x1dbc	0x66666666666666
0x1dc4	0x66666666666666
0x1dcc	0x66666666666666
0x1dd4	0x66666666666666
0x1ddc	0x66666666666666
0x1df1	0x666635373630
0x1dfc	0x64356238303630
0x1e11	0x3831
0x1e1a	0x66666666666666
0x1e22	0x66666666666666
0x1e2a	0x66666666666666
0x1e32	0x66666666666666
0x1e3a	0x66666666666666
0x1e4e	0x66666666666666
0x1e56	0x66666666666666
0x1e5e	0x66666666666666
0x1e66	0x66666666666666
0x1e6e	0x66666666666666
0x1e87	0x363030
0x1e9a	0x66666666666666
0x1ea2	0x66666666666666
0x1eaa	0x66666666666666
0x1eb2	0x66666666666666
0x1eba	0x66666666666666
0x1ec6	0x66666666666666
0x1ece	0x66666666666666
0x1ed6	0x66666666666666
0x1ede	0x66666666666666
0x1ee6	0x66666666666666
0x1f14	0x66666666666666
0x1f1c	0x66666666666666
0x1f24	0x66666666666666
0x1f2c	0x66666666666666
0x1f34	0x66666666666666
0x1f40	0x66666666666666
0x1f48	0x66666666666666
0x1f50	0x66666666666666
0x1f58	0x66666666666666
0x1f60	0x66666666666666
0x1f92	0x66666666666666
0x1f9a	0x66666666666666
0x1fa2	0x66666666666666
0x1faa	0x66666666666666
0x1fb2	0x66666666666666
0x1fc0	0x66666666666666
0x1fc8	0x66666666666666
0x1fd0	0x66666666666666
0x1fd8	0x66666666666666
0x1fe0	0x66666666666666
0x1feb	0x38633562653165
0x1ff4	0x626563376435
0x1ffb	0x643134
0x1fff	0x37313432376431
0x2007	0x383466336464
0x2012	0x30663762
0x201b	0x356232303061
0x2022	0x38633763
0x2028	0x393235
0x2056	0x3336
0x206b	0x363030
0x2078	0x66666666666666
0x2080	0x66666666666666
0x2088	0x66666666666666
0x2090	0x66666666666666
0x2098	0x66666666666666
0x20a6	0x66666666666666
0x20ae	0x66666666666666
0x20b6	0x66666666666666
0x20be	0x66666666666666
0x20c6	0x66666666666666
0x20e6	0x64356236303031
0x20f6	0x66666666666666
0x20fe	0x66666666666666
0x2106	0x66666666666666
0x210e	0x66666666666666
0x2116	0x66666666666666
0x2122	0x66666666666666
0x212a	0x66666666666666
0x2132	0x66666666666666
0x213a	0x66666666666666
0x2142	0x66666666666666
0x2178	0x32353736
0x2182	0x64356236303032
0x2192	0x66666666666666
0x219a	0x66666666666666
0x21a2	0x66666666666666
0x21aa	0x66666666666666
0x21b2	0x66666666666666
0x21be	0x66666666666666
0x21c6	0x66666666666666
0x21ce	0x66666666666666
0x21d6	0x66666666666666
0x21de	0x66666666666666
0x220c	0x66666666666666
0x2214	0x66666666666666
0x221c	0x66666666666666
0x2224	0x66666666666666
0x222c	0x66666666666666
