0x1e	0x64356235303630
0x30	0x3935
0x3c	0x303163383036
0x69	0x35373830363337
0x72	0x3038
0x7e	0x35353738
0x88	0x3839623431
0x95	0x3537383036
0x9c	0x3435
0xa0	0x32643731
0xaa	0x3035
0xb2	0x3930
0xb7	0x62623134
0xc8	0x6436326564
0xcf	0x313436313034
0xd7	0x35373631
0xde	0x3935
0xe3	0x383036
0xea	0x64646530333134
0xf6	0x6535
0x101	0x613762333134
0x119	0x6464313436
0x12c	0x383732
0x130	0x6431343631
0x138	0x353537
0x143	0x65353637
0x14f	0x353735
0x153	0x363030
0x15a	0x64356236313030
0x162	0x363631
0x168	0x343536356236
0x1b7	0x383338
0x1c4	0x36353738303832
0x1e8	0x6235363562
0x205	0x31363830313536
0x231	0x3033
0x247	0x353039
0x260	0x33356236313031
0x269	0x3630303438
0x28c	0x64356238313031
0x29e	0x66666666666666
0x2a6	0x66666666666666
0x2ae	0x66666666666666
0x2b6	0x66666666666666
0x2be	0x66666666666666
0x2fb	0x363034
0x32c	0x33356236313031
0x335	0x36313036623135
0x33f	0x363034
0x368	0x33356236313032
0x38a	0x62353736
0x394	0x64356238313031
0x3a6	0x66666666666666
0x3ae	0x66666666666666
0x3b6	0x66666666666666
0x3be	0x66666666666666
0x3c6	0x66666666666666
0x3e6	0x66666666666666
0x3ee	0x66666666666666
0x3f6	0x66666666666666
0x3fe	0x66666666666666
0x406	0x66666666666666
0x43e	0x623536
0x443	0x363034
0x474	0x33356236313032
0x483	0x353635
0x487	0x363034
0x494	0x66313636306666
0x4bc	0x33356236313032
0x4c4	0x6236
0x4e8	0x64356238313031
0x4fa	0x66666666666666
0x502	0x66666666666666
0x50a	0x66666666666666
0x512	0x66666666666666
0x51a	0x66666666666666
0x557	0x363034
0x588	0x33356236313033
0x5aa	0x6235373630
0x5b4	0x64356238313031
0x5c6	0x66666666666666
0x5ce	0x66666666666666
0x5d6	0x66666666666666
0x5de	0x66666666666666
0x5e6	0x66666666666666
0x609	0x6237
0x60f	0x363034
0x638	0x33356236313033
0x645	0x303035
0x64b	0x363034
0x695	0x383338
0x6c7	0x3536
0x6cb	0x353035
0x6e3	0x31363830313536
0x70f	0x3033
0x725	0x353039
0x73e	0x33356236313033
0x746	0x633630303438
0x760	0x363537
0x76a	0x64356238313031
0x77c	0x66666666666666
0x784	0x66666666666666
0x78c	0x66666666666666
0x794	0x66666666666666
0x79c	0x66666666666666
0x7d3	0x613235
0x7d9	0x363034
0x80a	0x33356236313034
0x82d	0x35373630
0x836	0x64356238313031
0x848	0x66666666666666
0x850	0x66666666666666
0x858	0x66666666666666
0x860	0x66666666666666
0x868	0x66666666666666
0x89f	0x6437353635
0x8a5	0x363034
0x8d6	0x33356236313034
0x8de	0x65363030
0x902	0x64356238313031
0x914	0x66666666666666
0x91c	0x66666666666666
0x924	0x66666666666666
0x92c	0x66666666666666
0x934	0x66666666666666
0x954	0x66666666666666
0x95c	0x66666666666666
0x964	0x66666666666666
0x96c	0x66666666666666
0x974	0x66666666666666
0x997	0x6565353635
0x99d	0x363034
0x9c6	0x33356236303630
0x9fd	0x30313630323038
0xa69	0x35373830
0xa71	0x31303631303535
0xa9f	0x35363562
0xabf	0x383135
0xae3	0x35373832393030
0xaef	0x31363832303139
0xaf9	0x353035
0xb0d	0x363030
0xb16	0x66666666666666
0xb1e	0x66666666666666
0xb26	0x66666666666666
0xb2e	0x66666666666666
0xb36	0x66666666666666
0xb44	0x66666666666666
0xb4c	0x66666666666666
0xb54	0x66666666666666
0xb5c	0x66666666666666
0xb64	0x66666666666666
0xb76	0x31353736
0xb80	0x64356238313630
0xb92	0x66666666666666
0xb9a	0x66666666666666
0xba2	0x66666666666666
0xbaa	0x66666666666666
0xbb2	0x66666666666666
0xbbe	0x66666666666666
0xbc6	0x66666666666666
0xbce	0x66666666666666
0xbd6	0x66666666666666
0xbde	0x66666666666666
0xc0c	0x66666666666666
0xc14	0x66666666666666
0xc1c	0x66666666666666
0xc24	0x66666666666666
0xc2c	0x66666666666666
0xc38	0x66666666666666
0xc40	0x66666666666666
0xc48	0x66666666666666
0xc50	0x66666666666666
0xc58	0x66666666666666
0xc8a	0x66666666666666
0xc92	0x66666666666666
0xc9a	0x66666666666666
0xca2	0x66666666666666
0xcaa	0x66666666666666
0xcb8	0x66666666666666
0xcc0	0x66666666666666
0xcc8	0x66666666666666
0xcd0	0x66666666666666
0xcd8	0x66666666666666
0xce3	0x38633562653165
0xcec	0x626563376435
0xcf3	0x643134
0xcf7	0x37313432376431
0xcff	0x383466336464
0xd0a	0x30663762
0xd13	0x356232303061
0xd1a	0x38633763
0xd20	0x393235
0xd4e	0x3336
0xd63	0x363030
0xd77	0x363030
0xd88	0x66666666666666
0xd90	0x66666666666666
0xd98	0x66666666666666
0xda0	0x66666666666666
0xda8	0x66666666666666
0xdb4	0x66666666666666
0xdbc	0x66666666666666
0xdc4	0x66666666666666
0xdcc	0x66666666666666
0xdd4	0x66666666666666
0xe02	0x66666666666666
0xe0a	0x66666666666666
0xe12	0x66666666666666
0xe1a	0x66666666666666
0xe22	0x66666666666666
0xe2e	0x66666666666666
0xe36	0x66666666666666
0xe3e	0x66666666666666
0xe46	0x66666666666666
0xe4e	0x66666666666666
0xe8a	0x64356236313037
0xe92	0x3538323630
0xea2	0x66666666666666
0xeaa	0x66666666666666
0xeb2	0x66666666666666
0xeba	0x66666666666666
0xec2	0x66666666666666
0xece	0x66666666666666
0xed6	0x66666666666666
0xede	0x66666666666666
0xee6	0x66666666666666
0xeee	0x66666666666666
0xf1c	0x66666666666666
0xf24	0x66666666666666
0xf2c	0x66666666666666
0xf34	0x66666666666666
0xf3c	0x66666666666666
0xf48	0x66666666666666
0xf50	0x66666666666666
0xf58	0x66666666666666
0xf60	0x66666666666666
0xf68	0x66666666666666
0xf93	0x373539303931
0xf9e	0x66666666666666
0xfab	0x363030
0xfb8	0x66666666666666
