0x14d
0x1f8
0x4af
0x4ee
0x4f3
0x570
0x577
0x5bf
0x6c7
0x711
0x759
0xa3a
0xb53
0xe66
0xfee
0x104b
0x1077
0x10b0
0x1196
0x1400
0x1493
0x14e3
