0xac
0x1c0
0x215
0x270
0x360
0x3b8
0x530
0x6a4
0x940
0xa2e
0xbfa
0xc05
0xc26
0xc78
0xda2
0x12e2
0x1358
0x13c6
0x13fe
0x1460
0x14a4
0x1542
0x1578
0x15bc
0x174d
0x19fc
0x1c6c
0x1cc0
0x1d40
0x1ee7
0x22d5
0x238c
0x2391
0x24a2
0x2650
0x26f2
0x2c19
0x2ed2
0x2ffc
0x3024
0x3262
0x33a4
0x349c
0x352c
0x3886
0x3a24
0x3d3a
0x3d8c
0x3fd3
0x410c
0x43f4
0x442e
0x4531
