0xf1
0x162
0x303
0x331
0x37c
0x3de
0x450
0x4c0
0x6a8
0x6ec
0x7b6
0x7e0
0x86e
0x8e6
0x9bc
0xb26
0xbec
0xc58
0xca2
0xd74
0xdce
0xe60
0xeb8
0xf9b
0x1030
0x105e
0x10ac
0x11d7
0x1374
0x143a
0x145a
0x1498
0x14d0
0x1562
0x1790
0x17c5
0x1839
0x1888
0x18b6
0x1987
0x1a9a
0x1ac1
0x1b10
0x1b64
0x1ce5
0x1d6a
0x1e2a
0x204c
0x2110
0x2151
0x21e0
0x2222
0x2324
0x2357
0x248e
0x2526
0x264b
0x2856
0x2870
0x293e
0x2a00
0x31fa
0x322c
0x32e9
0x330b
