0x149	0x3935	320
0x5ae	0x353738303633	320
0x5ae	0x64356236303030	320
0x5ae	0x3039303931	320
0x5ae	0x336539363265	320
0x786	0x353738303633	320
0x786	0x64356236303030	320
0x786	0x3039303931	320
0x786	0x336539363265	320
0x8be	0x64316664	320
0xa2e	0x3761	320
0x9c	0x353738303633	320
0x9c	0x64356236303030	320
0x9c	0x3039303931	320
0x9c	0x336539363265	320
0x46e	0x353738303633	320
0x46e	0x64356236303030	320
0x46e	0x3039303931	320
0x46e	0x336539363265	320
0x588	0x353738303633	320
0x588	0x64356236303030	320
0x588	0x3039303931	320
0x588	0x336539363265	320
