0x1a	0x7f
0x25	0x59
0xc8	0xd0
0xd2	0x113
0xdf	0xe7
0x10f	0x4b5
0x138	0x140
0x142	0x183
0x14f	0x157
0x17f	0x4e6
0x189	0x191
0x193	0x1be
0x1a0	0x1a8
0x1ba	0x7a4
0x1c4	0x1cc
0x1ce	0x1d5
0x1d1	0x808
0x1ef	0x1f7
0x1f9	0x200
0x1fc	0x810
0x206	0x20e
0x210	0x217
0x213	0x90d
0x231	0x239
0x23b	0x242
0x23e	0x91a
0x25c	0x264
0x266	0x2a7
0x273	0x27b
0x2a3	0x920
0x2c5	0x2cd
0x2cf	0x2d6
0x2d2	0x9e7
0x303	0x319
0x315	0x2fe
0x331	0x339
0x33b	0x37c
0x348	0x350
0x378	0xa75
0x37f	0x434
0x38c	0x394
0x3a9	0x3b1
0x3bb	0x3c3
0x3dd	0x3e5
0x430	0xc47
0x43a	0x442
0x444	0x485
0x451	0x459
0x481	0xd56
0x488	0x4b3
0x495	0x49d
0x4af	0xdf4
0x538	0x540
0x59a	0x60b
0x661	0x666
0x69c	0x6a1
0x795	0x79e
0x79a	0xef0
0x7f6	0x7fe
0x862	0x86a
0x87a	0x90a
0x885	0x88a
0x8ef	0x8fc
0x906	0x870
0x92c	0x938
0x934	0x9e2
0x998	0x99d
0xa0d	0xa6b
0xa67	0xa21
0xacd	0xb3e
0xc99	0xca1
0xcb1	0xd52
0xcbc	0xcc1
0xd0c	0xd11
0xd37	0xd44
0xd4e	0xca7
0xda8	0xdb0
0xe46	0xe4e
0xe5e	0xeec
0xe69	0xe6e
0xed1	0xede
0xee8	0xe54
0xefa	0xf17
0xf0d	0xf16
0xf12	0xf1c
0xf1d	0xf3e
0xf27	0xf3a
0xf36	0xf22
0xf66	0xf82
0xf68	0xfa0
0xf6a	0xfa3
0xf6c	0xfa6
0xf6e	0xfa9
0xf70	0xf97
0xf72	0xf9a
0xf74	0xf9d
0xf76	0xf85
0xf78	0xf88
0xf7a	0xf8b
0xf7c	0xf8e
0xf7e	0xf91
0xf80	0xf94
