0xad	0x3235	320
0x1c8	0x313436313035	2147483647
0x1c8	0x33356233343135	2147483647
0x1c8	0x33356236333031	2147483647
0x1c8	0x35343638373236	2147483647
0x1c8	0x63333738646161	2147483647
0x1c8	0x6237356433	2147483647
0x351	0x6435	320
0x549	0x3935	320
0x6e3	0x313436313035	320
0x6e3	0x33356233343135	320
0x6e3	0x33356236333031	320
0x6e3	0x35343638373236	320
0x6e3	0x63333738646161	320
0x6e3	0x6237356433	320
0xbce	0x313436313035	320
0xbce	0x33356233343135	320
0xbce	0x33356236333031	320
0xbce	0x35343638373236	320
0xbce	0x63333738646161	320
0xbce	0x6237356433	320
0xf4d	0x6235	320
0x16b3	0x356535	320
0x185b	0x313436313035	6435896
0x185b	0x33356233343135	6435896
0x185b	0x33356236333031	6435896
0x185b	0x35343638373236	6435896
0x185b	0x63333738646161	6435896
0x185b	0x623438	2147483647
0x185b	0x31656530	1325190919
0x185b	0x6237356433	6435896
0x294d	0x3935	64
0x294d	0x3835	320
0x2970	0x3835	108
0x2970	0x3761	320
0x29b3	0x623438	1714762802
0x29b3	0x31656530	892470074
0x29b3	0x623236	1714763316
0xc07	0x313436313035	320
0xc07	0x33356233343135	320
0xc07	0x33356236333031	320
0xc07	0x35343638373236	320
0xc07	0x63333738646161	320
0xc07	0x6237356433	320
0x1556	0x313436313035	320
0x1556	0x33356233343135	320
0x1556	0x33356236333031	320
0x1556	0x35343638373236	320
0x1556	0x63333738646161	320
0x1556	0x6237356433	320
0x1868	0x31656530	320
0x188b	0x313436313035	320
0x188b	0x33356233343135	320
0x188b	0x33356236333031	320
0x188b	0x35343638373236	320
0x188b	0x63333738646161	320
0x188b	0x6237356433	320
0x193c	0x313436313035	320
0x193c	0x33356233343135	320
0x193c	0x33356236333031	320
0x193c	0x35343638373236	320
0x193c	0x63333738646161	320
0x193c	0x6237356433	320
0x2392	0x313436313035	320
0x2392	0x33356233343135	320
0x2392	0x33356236333031	320
0x2392	0x35343638373236	320
0x2392	0x63333738646161	320
0x2392	0x6237356433	320
0x2991	0x353830	320
