0x0	__function_selector__
0xda	rake()
0x103	kill()
0x118	lastWinningNumber()
0x141	getRefund()
0x156	raffleId()
0x17f	gaps(uint256)
0x1b6	rakeAddress()
0x20b	nextTicket()
0x234	buyTickets()
0x23e	totalTickets()
0x267	contestants(uint256)
0x2d1	prize()
0x2fa	creatorAddress()
0x34f	pricePerTicket()
0x378	0x378
0xa84	0xa84
