0xf4	0x102	0	0	32
0x132	0x140	0	0	32
0x170	0x17e	0	0	32
0x1a7	0x1b5	0	0	32
0x1fc	0x20a	0	0	32
0x225	0x233	0	0	32
0x258	0x266	0	0	32
0x2bb	0x2d0	0	0	32
0x2c1	0x2d0	32	0	32
0x2eb	0x2f9	0	0	32
0x340	0x34e	0	0	32
0x369	0x377	0	0	32
0x3e1	0x3e6	0	0	32
0x428	0x519	0	0	32
0x428	0x51e	0	0	32
0x428	0x929	0	0	32
0x428	0x92e	0	0	32
0x428	0x984	0	0	32
0x428	0x989	0	0	32
0x428	0x9e8	0	0	32
0x428	0x9f5	0	0	32
0x442	0x463	0	0	32
0x44a	0x4aa	0	0	32
0x452	0x45e	0	0	32
0x458	0x45e	32	0	32
0x5fc	0x608	0	0	32
0x602	0x608	32	0	32
0x668	0x674	0	0	32
0x66e	0x674	32	0	32
0x694	0x7a2	0	0	32
0x694	0x7a7	0	0	32
0x6af	0x6cf	0	0	32
0x6b6	0x716	0	0	32
0x6be	0x6ca	0	0	32
0x6c4	0x6ca	32	0	32
0x736	0x73b	0	0	32
0x7de	0x7e3	0	0	32
0x818	0x821	32	0	32
0x81c	0x821	0	0	32
0x8c4	0x8d0	0	0	32
0x8ca	0x8d0	32	0	32
0x9ec	0x9fa	0	0	32
0xa3e	0xa43	0	0	32
0xa6a	0xa6f	0	0	32
