0x8	0x7	0
0x10	0xf	0
0x13	0x12	0
0x15	0x14	0
0x16	0x15	0
0x65	0x64	0
0x68	0x67	0
0x6d	0x6c	0
0x75	0x74	0
0x76	0x75	0
0x79	0x78	0
0x7b	0x7a	0
0x7d	0x7c	0
0x7e	0x7d	0
0x8f	0x8e	0
0x91	0x90	0
0x94	0x93	0
0x9c	0x97	0
0xa5	0xa4	0
0xa7	0xa6	0
0xb0	0xaf	0
0xb2	0xb1	0
0xbb	0xb5	0
0xbd	0xbc	0
0xd4	0xd3	0
0xd6	0xc8	0
0xdd	0xdc	0
0xe4	0xdf	0
0xe7	0xe6	0
0xeb	0xea	0
0xec	0xeb	0
0xfd	0xfc	0
0x100	0xff	0
0x102	0x101	0
0x110	0x107	0
0x113	0x112	0
0x118	0x113	0
0x11e	0x11d	0
0x129	0x128	0
0x136	0x135	0
0x13c	0x13b	0
0x13f	0x13e	0
0x151	0x150	0
0x152	0x151	0
0x155	0x154	0
0x168	0x167	0
0x16b	0x16a	0
0x178	0x177	0
0x18e	0x18d	0
0x197	0x196	0
0x19b	0x19a	0
0x19c	0x19b	0
0x1ad	0x1a9	0
0x1b0	0x1af	0
0x1b2	0x1b1	0
0x1b9	0x1b4	0
0x1c0	0x1ba	0
0x1c3	0x1c2	0
0x1c8	0x1c3	0
0x1d1	0x1ce	0
0x1d9	0x1d8	0
0x1dc	0x1db	0
0x1ec	0x1eb	0
0x1ef	0x1ee	0
0x218	0x210	0
0x21b	0x21a	0
0x22e	0x226	0
0x231	0x230	0
0x249	0x248	0
0x24b	0x24a	0
0x261	0x260	0
0x265	0x264	0
0x266	0x265	0
0x268	0x267	0
0x26e	0x26d	0
0x26f	0x26e	0
0x272	0x271	0
0x273	0x272	0
0x274	0x273	0
0x275	0x274	0
0x277	0x276	0
0x278	0x277	0
0x27f	0x27e	0
0x284	0x283	0
0x285	0x284	0
0x289	0x282	0
0x297	0x296	0
0x299	0x298	0
0x29a	0x299	0
0x29c	0x29b	0
0x2ac	0x2a4	0
0x2b2	0x2b1	0
0x2b3	0x2b2	0
0x2b4	0x2b3	0
0x2b6	0x2b5	0
0x2bc	0x2bb	0
0x2bd	0x2bc	0
0x2c6	0x2c5	0
0x2c9	0x2c8	0
0x2cd	0x2cc	0
0x2cf	0x2ce	0
0x2d3	0x2d2	0
0x2d5	0x2d4	0
0x2d6	0x2d5	0
0x2d7	0x2d6	0
0x2d9	0x2d8	0
0x2da	0x2d9	0
0x2e1	0x2e0	0
0x2e3	0x2dd	0
0x2e4	0x2e3	0
0x2e8	0x2e7	0
0x2e9	0x2e8	0
0x2f1	0x2f0	0
0x2fe	0x2fd	0
0x303	0x2ff	0
0x304	0x303	0
0x306	0x305	0
0x307	0x306	0
0x309	0x308	0
0x30b	0x30a	0
0x30e	0x2fb	0
0x315	0x314	0
0x316	0x315	0
0x317	0x316	0
0x31d	0x31c	0
0x31e	0x31d	0
0x325	0x324	0
0x327	0x326	0
0x329	0x328	0
0x334	0x333	0
0x336	0x335	0
0x33a	0x339	0
0x33f	0x33e	0
0x341	0x340	0
0x346	0x345	0
0x34f	0x347	0
0x351	0x350	0
0x35e	0x35d	0
0x35f	0x35e	0
0x363	0x362	0
0x36d	0x36c	0
0x36f	0x36e	0
0x376	0x373	0
0x378	0x370	0
0x37b	0x37a	0
0x37c	0x37b	0
0x383	0x382	0
0x385	0x37f	0
0x386	0x385	0
0x388	0x387	0
0x38e	0x38d	0
0x390	0x38f	0
0x392	0x391	0
0x398	0x397	0
0x399	0x398	0
0x39d	0x396	0
0x3ab	0x3aa	0
0x3ad	0x3ac	0
0x3c5	0x3c4	0
0x3d7	0x3d6	0
0x3d8	0x3d7	0
0x3df	0x3de	0
0x3e1	0x3e0	0
0x3e8	0x3e7	0
0x3ed	0x3e9	0
0x3ef	0x3ee	0
0x3f1	0x3f0	0
0x407	0x406	0
0x414	0x413	0
0x415	0x414	0
0x419	0x418	0
0x41a	0x419	0
0x421	0x420	0
0x426	0x425	0
0x427	0x426	0
0x42b	0x424	0
0x439	0x438	0
0x43e	0x43d	0
0x453	0x452	0
0x465	0x464	0
0x467	0x466	0
0x468	0x467	0
0x471	0x470	0
0x472	0x471	0
0x479	0x478	0
0x47b	0x47a	0
0x486	0x485	0
0x487	0x486	0
0x489	0x488	0
0x4a1	0x4a0	0
0x4a3	0x4a2	0
0x4ac	0x4ab	0
0x4ad	0x4ac	0
0x4af	0x4ae	0
0x4b2	0x4b1	0
0x4c7	0x4c6	0
0x4c9	0x4c8	0
0x4ca	0x4c9	0
0x4cc	0x4cb	0
0x4ce	0x4cd	0
0x4d7	0x4d3	0
0x4d9	0x4d8	0
0x4de	0x4dd	0
0x4f3	0x4f2	0
0x505	0x504	0
0x506	0x505	0
0x50d	0x50c	0
0x50f	0x50e	0
0x511	0x510	0
0x514	0x513	0
0x516	0x515	0
0x51b	0x517	0
0x51d	0x51c	0
0x522	0x521	0
0x535	0x534	0
0x541	0x539	0
0x543	0x542	0
0x55d	0x55c	0
0x56f	0x56e	0
0x570	0x56f	0
0x577	0x576	0
0x579	0x578	0
0x580	0x57f	0
0x585	0x581	0
0x587	0x586	0
0x5a1	0x5a0	0
0x5b3	0x5b2	0
0x5b4	0x5b3	0
0x5b7	0x5b6	0
0x5c2	0x5c1	0
0x5c3	0x5c2	0
0x5c5	0x5c4	0
0x5dd	0x5dc	0
0x5e8	0x5e7	0
0x5e9	0x5e8	0
0x5eb	0x5ea	0
0x603	0x602	0
0x60a	0x607	0
0x60f	0x60b	0
0x611	0x610	0
0x614	0x613	0
0x616	0x615	0
0x629	0x628	0
0x630	0x62f	0
0x635	0x631	0
0x637	0x636	0
0x63c	0x63b	0
0x654	0x64c	0
0x656	0x655	0
0x65c	0x65b	0
0x65d	0x65c	0
0x661	0x660	0
0x671	0x664	0
0x672	0x671	0
0x675	0x674	0
0x676	0x675	0
0x67d	0x67c	0
0x682	0x681	0
0x683	0x682	0
0x687	0x680	0
0x695	0x694	0
0x698	0x697	0
0x69a	0x699	0
0x6aa	0x6a2	0
0x6b2	0x6b1	0
0x6b4	0x6b3	0
0x6b9	0x6b5	0
0x6bb	0x6ba	0
0x6bf	0x6be	0
0x6c0	0x6bf	0
0x6d5	0x6d4	0
0x6e7	0x6e6	0
0x6e8	0x6e7	0
0x6ef	0x6ee	0
0x6f1	0x6f0	0
0x6f8	0x6f7	0
0x6fd	0x6f9	0
0x6ff	0x6fe	0
0x704	0x6ff	0
0x719	0x718	0
0x72b	0x72a	0
0x72c	0x72b	0
0x733	0x732	0
0x735	0x734	0
0x741	0x73d	0
0x743	0x742	0
0x75d	0x75c	0
0x76f	0x76e	0
0x771	0x770	0
0x772	0x771	0
0x77b	0x77a	0
0x77c	0x77b	0
0x77f	0x77e	0
0x78a	0x789	0
0x78b	0x78a	0
0x78d	0x78c	0
0x7a7	0x7a6	0
0x7b9	0x7b8	0
0x7ba	0x7b9	0
0x7bd	0x7bc	0
0x7c0	0x7ba	0
0x7c2	0x7c1	0
0x7c4	0x7c3	0
0x7c9	0x7c5	0
0x7cb	0x7ca	0
0x7e5	0x7e4	0
0x7f7	0x7f6	0
0x7f8	0x7f7	0
0x7fb	0x7fa	0
0x802	0x801	0
0x808	0x807	0
0x822	0x81a	0
0x82a	0x829	0
0x82f	0x82e	0
0x831	0x830	0
0x835	0x834	0
0x836	0x835	0
0x838	0x837	0
0x839	0x838	0
0x83b	0x83a	0
0x83d	0x83c	0
0x844	0x843	0
0x852	0x851	0
0x85d	0x850	0
0x867	0x866	0
0x86c	0x86b	0
0x86d	0x86c	0
0x871	0x870	0
0x873	0x872	0
