0x4d9	0	0x4d9_0x0
0x4e2	0	0x4e2_0x0
0x6ec	2	0x6ec_0x2
0x6f6	2	0x6f6_0x2
0x703	0	0x703_0x0
0x709	1	0x709_0x1
0x74f	1	0x74f_0x1
0x759	1	0x759_0x1
0x799	1	0x799_0x1
0x7ba	2	0x7ba_0x2
0x9ec	0	0x9ec_0x0
0xc9a	5	0xc9a_0x5
0xca5	5	0xca5_0x5
0xcb5	0	0xcb5_0x0
0xcda	5	0xcda_0x5
0xce8	0	0xce8_0x0
0xce8	7	0xce8_0x7
0xce8	8	0xce8_0x8
0xd0b	7	0xd0b_0x7
0xd90	7	0xd90_0x7
0xd9c	6	0xd9c_0x6
0xdac	1	0xdac_0x1
0xdbd	2	0xdbd_0x2
0xdc8	2	0xdc8_0x2
0xdd7	0	0xdd7_0x0
0xdd7	5	0xdd7_0x5
0xdfb	0	0xdfb_0x0
0xe40	3	0xe40_0x3
0xe52	0	0xe52_0x0
0xe73	8	0xe73_0x8
0xe77	2	0xe77_0x2
0xef3	8	0xef3_0x8
0xef7	8	0xef7_0x8
0xf71	0	0xf71_0x0
0xf7c	0	0xf7c_0x0
0xf89	0	0xf89_0x0
0xfa1	2	0xfa1_0x2
0xfbd	0	0xfbd_0x0
0xfe7	0	0xfe7_0x0
0xff4	0	0xff4_0x0
0x101a	0	0x101a_0x0
0x1022	1	0x1022_0x1
0x1282	2	0x1282_0x2
0x128b	0	0x128b_0x0
0x128b	1	0x128b_0x1
0x128b	2	0x128b_0x2
0x12a1	0	0x12a1_0x0
0x12a1	1	0x12a1_0x1
0x12a1	2	0x12a1_0x2
0x1437	0	0x1437_0x0
0x144c	0	0x144c_0x0
0x1479	1	0x1479_0x1
0x1479	2	0x1479_0x2
0x14a3	1	0x14a3_0x1
0x14c9	1	0x14c9_0x1
0x14d6	1	0x14d6_0x1
0x1511	1	0x1511_0x1
0x1642	0	0x1642_0x0
0x1642	1	0x1642_0x1
0x171c	0	0x171c_0x0
0x1725	0	0x1725_0x0
0x175f	0	0x175f_0x0
0x1768	0	0x1768_0x0
0x24c0x449	0	0x24c0x449_0x0
