0x0	__function_selector__
0x127	fallback()
0x127	batchLock_63efZf()
0x237	minipotTimes()
0x25e	rolls(address,uint256)
0x2bb	rollTail()
0x2ec	minipotPool()
0x301	kill()
0x316	check(uint256)
0x32e	rollHead()
0x343	jackpot()
0x358	minipot()
0x36d	getBonus()
0x382	pendingBetAmount()
0x397	rollTimes()
0x3ac	setOwner(address,uint256)
0x3d0	jackpotPool()
0x3e5	getPartnersCount()
0x3fa	partners(uint256)
0x435	roll(uint8,uint8)
0x449	rollBlockNumber(address)
0x46a	distribute()
0x47f	calcPayout(uint256,uint256,uint256)
0x49d	acceptOwner()
0x4a5	calcRoll(address,uint256,uint256)
0x67e	0x67e
0x7e9	0x7e9
0x7fa	0x7fa
0x808	0x808
0xc81	0xc81
0xf02	0xf02
0x1149	0x1149
0x1420	0x1420
0x16b2	0x16b2
0x16d6	0x16d6
0x16f7	0x16f7
0x1716	0x1716
0x1759	0x1759
