0xdc
0x3b2
0x3b7
0x401
0x427
0x448
0x545
0x5af
0x5d5
0x617
0x659
0x663
0x67f
0x684
0x689
0x7a8
0x84e
0x853
0x896
0xa30
0xa5e
0xa7c
0xb10
0xbc3
0xbeb
