0x93	0x6535	320
0xd5	0x6135	320
0x12d	0x3535	320
0x16f	0x3135	320
0x1f0	0x313436313036	2147483647
0x1f0	0x64356236313032	2147483647
0x1f0	0x64356236313035	2147483647
0x1f0	0x64356236313037	2147483647
0x1f0	0x31303631303766	2147483647
0x1f0	0x64356236303030	2147483647
0x1f0	0x63333738646161	2147483647
0x1f0	0x363235373832	2147483647
0x1f0	0x31303631313165	2147483647
0x1f0	0x66303231393136	2147483647
0x1f0	0x3134393930	2147483647
0x30d	0x3135	64
0x30d	0x3035	320
0x94f	0x6335	320
0xb34	0x36313133	320
0xb49	0x3935	320
0xe9c	0x313436313036	320
0xe9c	0x64356236313032	320
0xe9c	0x64356236313035	320
0xe9c	0x64356236313037	320
0xe9c	0x31303631303766	320
0xe9c	0x64356236303030	320
0xe9c	0x63333738646161	320
0xe9c	0x363235373832	320
0xe9c	0x31303631313165	320
0xe9c	0x66303231393136	320
0xe9c	0x3134393930	320
0x1241	0x363030	320
0x1241	0x363130	64
0x133a	0x313436313036	320
0x133a	0x64356236313032	320
0x133a	0x64356236313035	320
0x133a	0x64356236313037	320
0x133a	0x31303631303766	320
0x133a	0x64356236303030	320
0x133a	0x63333738646161	320
0x133a	0x363235373832	320
0x133a	0x31303631313165	320
0x133a	0x66303231393136	320
0x133a	0x3134393930	320
0x345e	0x3761	320
0x3477	0x313436313036	25400
0x3477	0x64356236313032	25400
0x3477	0x64356236313035	25400
0x3477	0x64356236313037	25400
0x3477	0x31303631303766	25400
0x3477	0x64356236303030	25400
0x3477	0x63333738646161	25400
0x3477	0x363235373832	25400
0x3477	0x31303631313165	25400
0x3477	0x66303231393136	25400
0x3477	0x3134393930	25400
0x431	0x363130	320
0x47e	0x313436313036	320
0x47e	0x64356236313032	320
0x47e	0x64356236313035	320
0x47e	0x64356236313037	320
0x47e	0x31303631303766	320
0x47e	0x64356236303030	320
0x47e	0x63333738646161	320
0x47e	0x363235373832	320
0x47e	0x31303631313165	320
0x47e	0x66303231393136	320
0x47e	0x3134393930	320
0xb2e	0x313436313036	320
0xb2e	0x64356236313032	320
0xb2e	0x64356236313035	320
0xb2e	0x64356236313037	320
0xb2e	0x31303631303766	320
0xb2e	0x64356236303030	320
0xb2e	0x63333738646161	320
0xb2e	0x363235373832	320
0xb2e	0x31303631313165	320
0xb2e	0x66303231393136	320
0xb2e	0x3134393930	320
0xfc9	0x313436313036	320
0xfc9	0x64356236313032	320
0xfc9	0x64356236313035	320
0xfc9	0x64356236313037	320
0xfc9	0x31303631303766	320
0xfc9	0x64356236303030	320
0xfc9	0x63333738646161	320
0xfc9	0x363235373832	320
0xfc9	0x31303631313165	320
0xfc9	0x66303231393136	320
0xfc9	0x3134393930	320
0x1a1a	0x313436313036	320
0x1a1a	0x64356236313032	320
0x1a1a	0x64356236313035	320
0x1a1a	0x64356236313037	320
0x1a1a	0x31303631303766	320
0x1a1a	0x64356236303030	320
0x1a1a	0x63333738646161	320
0x1a1a	0x363235373832	320
0x1a1a	0x31303631313165	320
0x1a1a	0x66303231393136	320
0x1a1a	0x3134393930	320
0x1cee	0x313436313036	320
0x1cee	0x64356236313032	320
0x1cee	0x64356236313035	320
0x1cee	0x64356236313037	320
0x1cee	0x31303631303766	320
0x1cee	0x64356236303030	320
0x1cee	0x63333738646161	320
0x1cee	0x363235373832	320
0x1cee	0x31303631313165	320
0x1cee	0x66303231393136	320
0x1cee	0x3134393930	320
0x23a9	0x313436313036	320
0x23a9	0x64356236313032	320
0x23a9	0x64356236313035	320
0x23a9	0x64356236313037	320
0x23a9	0x31303631303766	320
0x23a9	0x64356236303030	320
0x23a9	0x63333738646161	320
0x23a9	0x363235373832	320
0x23a9	0x31303631313165	320
0x23a9	0x66303231393136	320
0x23a9	0x3134393930	320
0x24ff	0x33363030	320
0x2686	0x313436313036	320
0x2686	0x64356236313032	320
0x2686	0x64356236313035	320
0x2686	0x64356236313037	320
0x2686	0x31303631303766	320
0x2686	0x64356236303030	320
0x2686	0x63333738646161	320
0x2686	0x363235373832	320
0x2686	0x31303631313165	320
0x2686	0x66303231393136	320
0x2686	0x3134393930	320
0x27c2	0x313436313036	320
0x27c2	0x64356236313032	320
0x27c2	0x64356236313035	320
0x27c2	0x64356236313037	320
0x27c2	0x31303631303766	320
0x27c2	0x64356236303030	320
0x27c2	0x63333738646161	320
0x27c2	0x363235373832	320
0x27c2	0x31303631313165	320
0x27c2	0x66303231393136	320
0x27c2	0x3134393930	320
0x2b72	0x313436313036	320
0x2b72	0x64356236313032	320
0x2b72	0x64356236313035	320
0x2b72	0x64356236313037	320
0x2b72	0x31303631303766	320
0x2b72	0x64356236303030	320
0x2b72	0x63333738646161	320
0x2b72	0x363235373832	320
0x2b72	0x31303631313165	320
0x2b72	0x66303231393136	320
0x2b72	0x3134393930	320
0x33b8	0x313436313036	320
0x33b8	0x64356236313032	320
0x33b8	0x64356236313035	320
0x33b8	0x64356236313037	320
0x33b8	0x31303631303766	320
0x33b8	0x64356236303030	320
0x33b8	0x63333738646161	320
0x33b8	0x363235373832	320
0x33b8	0x31303631313165	320
0x33b8	0x66303231393136	320
0x33b8	0x3134393930	320
