0x0	__function_selector__
0x160	removeOwner(address)
0x178	isOwner(address)
0x1a4	m_numOwners()
0x1c7	m_lastDay()
0x1ea	version()
0x20d	resetSpentToday()
0x21c	m_spentToday()
0x23f	addOwner(address)
0x257	m_required()
0x27a	confirm(bytes32)
0x2a6	setDailyLimit(uint256)
0x2be	execute(address,uint256,bytes)
0x307	revoke(bytes32)
0x31f	changeRequirement(uint256)
0x337	hasConfirmed(bytes32,address)
0x36c	kill(address)
0x384	changeOwner(address,address)
0x3a5	m_dailyLimit()
0x9a5	0x9a5
0xf0e	0xf0e
0x12db	0x12db
0x1777	0x1777
0x1980	0x1980
