0x19f	0x3235	320
0x257	0x3761	2147482835
0x257	0x31306631	1322241539
0x257	0x3435	2147483647
0x257	0x6132	2147472130
0x257	0x64356235303631	13365
0x257	0x64356238313031	13365
0x257	0x6536313062	13365
0x257	0x36313063	1238303697
0x257	0x6535	2147471103
0x257	0x313935	2144271103
0x257	0x66313639303530	13365
0x257	0x363235	2143945215
0x257	0x383835	2143812607
0x257	0x613335	2141126911
0x257	0x64356236303030	13365
0x257	0x66303231393136	13365
0x257	0x64316664	466537936
0x257	0x356561	2143997651
0x257	0x3131623063	13365
0x257	0x363131	2143945475
0x257	0x63333738646161	13365
0x257	0x6630	2147470852
0x257	0x653135	2140865279
0x257	0x65393434373961	13365
0x257	0x65613136353632	13365
0x257	0x663266	2140799438
0x283	0x31306631	1322253056
0x283	0x6132	2147483647
0x283	0x64356235303631	24882
0x283	0x64356238313031	24882
0x283	0x6536313062	24882
0x283	0x36313063	1238315214
0x283	0x6535	2147482620
0x283	0x313935	2144282620
0x283	0x66313639303530	24882
0x283	0x363235	2143956732
0x283	0x383835	2143824124
0x283	0x613335	2141138428
0x283	0x64356236303030	24882
0x283	0x66303231393136	24882
0x283	0x64316664	466549453
0x283	0x356561	2144009168
0x283	0x3131623063	24882
0x283	0x363131	2143956992
0x283	0x63333738646161	24882
0x283	0x6630	2147482369
0x283	0x653135	2140876796
0x283	0x65393434373961	24882
0x283	0x65613136353632	24882
0x283	0x663266	2140810955
0x7b8	0x64356235303631	320
0x7b8	0x64356238313031	320
0x7b8	0x6536313062	320
0x7b8	0x66313639303530	320
0x7b8	0x64356236303030	320
0x7b8	0x66303231393136	320
0x7b8	0x3131623063	320
0x7b8	0x63333738646161	320
0x7b8	0x65393434373961	320
0x7b8	0x65613136353632	320
0xa14	0x36313063	320
0xa15	0x64356235303631	320
0xa15	0x64356238313031	320
0xa15	0x6536313062	320
0xa15	0x66313639303530	320
0xa15	0x64356236303030	320
0xa15	0x66303231393136	320
0xa15	0x3131623063	320
0xa15	0x63333738646161	320
0xa15	0x65393434373961	320
0xa15	0x65613136353632	320
0xb53	0x6535	320
0xb53	0x6630	69
0x1629	0x313935	320
0x16bb	0x363235	320
0x1707	0x383835	320
0x173d	0x613335	320
0x19f0	0x64356235303631	320
0x19f0	0x64356238313031	320
0x19f0	0x6536313062	320
0x19f0	0x66313639303530	320
0x19f0	0x64356236303030	320
0x19f0	0x66303231393136	320
0x19f0	0x3131623063	320
0x19f0	0x63333738646161	320
0x19f0	0x65393434373961	320
0x19f0	0x65613136353632	320
0x1ab4	0x64316664	320
0x1c80	0x31306631	859399268
0x1c80	0x36313063	775461426
0x1c80	0x363235	1681102944
0x1c80	0x383835	1680970336
0x1c80	0x613335	1678284640
0x1c80	0x64316664	3695665
0x1c80	0x356561	1681155380
0x1c80	0x363131	1681103204
0x1c80	0x653135	1678023008
0x1c80	0x663266	1677957167
0x2d53	0x6535	320
0x2d53	0x6630	69
0x400c	0x64316664	320
0x47b0	0x64356235303631	320
0x47b0	0x64356238313031	320
0x47b0	0x6536313062	320
0x47b0	0x66313639303530	320
0x47b0	0x64356236303030	320
0x47b0	0x66303231393136	320
0x47b0	0x3131623063	320
0x47b0	0x63333738646161	320
0x47b0	0x65393434373961	320
0x47b0	0x65613136353632	320
0x47b4	0x3761	320
0x111	0x31306631	320
0x434	0x64356235303631	320
0x434	0x64356238313031	320
0x434	0x6536313062	320
0x434	0x66313639303530	320
0x434	0x64356236303030	320
0x434	0x66303231393136	320
0x434	0x3131623063	320
0x434	0x63333738646161	320
0x434	0x65393434373961	320
0x434	0x65613136353632	320
0x570	0x64356235303631	320
0x570	0x64356238313031	320
0x570	0x6536313062	320
0x570	0x66313639303530	320
0x570	0x64356236303030	320
0x570	0x66303231393136	320
0x570	0x3131623063	320
0x570	0x63333738646161	320
0x570	0x65393434373961	320
0x570	0x65613136353632	320
0x6f8	0x64356235303631	320
0x6f8	0x64356238313031	320
0x6f8	0x6536313062	320
0x6f8	0x66313639303530	320
0x6f8	0x64356236303030	320
0x6f8	0x66303231393136	320
0x6f8	0x3131623063	320
0x6f8	0x63333738646161	320
0x6f8	0x65393434373961	320
0x6f8	0x65613136353632	320
0x80c	0x64356235303631	320
0x80c	0x64356238313031	320
0x80c	0x6536313062	320
0x80c	0x66313639303530	320
0x80c	0x64356236303030	320
0x80c	0x66303231393136	320
0x80c	0x3131623063	320
0x80c	0x63333738646161	320
0x80c	0x65393434373961	320
0x80c	0x65613136353632	320
0x8f2	0x64356235303631	320
0x8f2	0x64356238313031	320
0x8f2	0x6536313062	320
0x8f2	0x66313639303530	320
0x8f2	0x64356236303030	320
0x8f2	0x66303231393136	320
0x8f2	0x3131623063	320
0x8f2	0x63333738646161	320
0x8f2	0x65393434373961	320
0x8f2	0x65613136353632	320
0x968	0x64356235303631	320
0x968	0x64356238313031	320
0x968	0x6536313062	320
0x968	0x66313639303530	320
0x968	0x64356236303030	320
0x968	0x66303231393136	320
0x968	0x3131623063	320
0x968	0x63333738646161	320
0x968	0x65393434373961	320
0x968	0x65613136353632	320
0xac6	0x64356235303631	320
0xac6	0x64356238313031	320
0xac6	0x6536313062	320
0xac6	0x66313639303530	320
0xac6	0x64356236303030	320
0xac6	0x66303231393136	320
0xac6	0x3131623063	320
0xac6	0x63333738646161	320
0xac6	0x65393434373961	320
0xac6	0x65613136353632	320
0xbbe	0x64356235303631	320
0xbbe	0x64356238313031	320
0xbbe	0x6536313062	320
0xbbe	0x66313639303530	320
0xbbe	0x64356236303030	320
0xbbe	0x66303231393136	320
0xbbe	0x3131623063	320
0xbbe	0x63333738646161	320
0xbbe	0x65393434373961	320
0xbbe	0x65613136353632	320
0xc74	0x64356235303631	320
0xc74	0x64356238313031	320
0xc74	0x6536313062	320
0xc74	0x66313639303530	320
0xc74	0x64356236303030	320
0xc74	0x66303231393136	320
0xc74	0x3131623063	320
0xc74	0x63333738646161	320
0xc74	0x65393434373961	320
0xc74	0x65613136353632	320
0xf70	0x64356235303631	320
0xf70	0x64356238313031	320
0xf70	0x6536313062	320
0xf70	0x66313639303530	320
0xf70	0x64356236303030	320
0xf70	0x66303231393136	320
0xf70	0x3131623063	320
0xf70	0x63333738646161	320
0xf70	0x65393434373961	320
0xf70	0x65613136353632	320
0x1040	0x64356235303631	320
0x1040	0x64356238313031	320
0x1040	0x6536313062	320
0x1040	0x66313639303530	320
0x1040	0x64356236303030	320
0x1040	0x66303231393136	320
0x1040	0x3131623063	320
0x1040	0x63333738646161	320
0x1040	0x65393434373961	320
0x1040	0x65613136353632	320
0x1126	0x64356235303631	320
0x1126	0x64356238313031	320
0x1126	0x6536313062	320
0x1126	0x66313639303530	320
0x1126	0x64356236303030	320
0x1126	0x66303231393136	320
0x1126	0x3131623063	320
0x1126	0x63333738646161	320
0x1126	0x65393434373961	320
0x1126	0x65613136353632	320
0x120c	0x64356235303631	320
0x120c	0x64356238313031	320
0x120c	0x6536313062	320
0x120c	0x66313639303530	320
0x120c	0x64356236303030	320
0x120c	0x66303231393136	320
0x120c	0x3131623063	320
0x120c	0x63333738646161	320
0x120c	0x65393434373961	320
0x120c	0x65613136353632	320
0x12de	0x64356235303631	320
0x12de	0x64356238313031	320
0x12de	0x6536313062	320
0x12de	0x66313639303530	320
0x12de	0x64356236303030	320
0x12de	0x66303231393136	320
0x12de	0x3131623063	320
0x12de	0x63333738646161	320
0x12de	0x65393434373961	320
0x12de	0x65613136353632	320
0x13e8	0x64356235303631	320
0x13e8	0x64356238313031	320
