0xfa
0x191
0x1f6
0x404
0xa2c
0xd5c
0x13fc
0x14a5
0x14ac
0x19a9
0x1a2e
0x25e9
0x26a2
0x26b2
0x294e
0x29ee
0x2a72
0x3201
0x32ba
0x32ca
0x3476
0x3b51
0x3df7
0x3f78
0x4550
0x462c
0x464c
