0x1e	0x64356235303630
0x30	0x30353736303030
0x3c	0x303163383036
0x45	0x6135636235
0x4b	0x313136
0x53	0x35373830363362
0x5e	0x373064
0x68	0x3235
0x70	0x6436326564
0x77	0x313136313030
0x86	0x6436326564
0x8d	0x313436313061
0x94	0x303537
0x9c	0x613463613437
0xa3	0x31343631
0xa9	0x323835
0xb2	0x36356465636336
0xbf	0x373635
0xc8	0x38336430386261
0xd5	0x626135
0xde	0x30353635623830
0xe8	0x343733
0xec	0x373064
0xfe	0x613961
0x102	0x383935313436
0x10c	0x38353738
0x114	0x30653232
0x119	0x39373134363130
0x121	0x3234
0x12a	0x65396237
0x137	0x3636
0x140	0x30353635623830
0x14a	0x3435
0x14e	0x32643731
0x158	0x6535373830
0x160	0x3435
0x164	0x32643731
0x176	0x3639
0x179	0x6634623531
0x185	0x3537
0x18c	0x3930
0x191	0x62623134
0x19a	0x633537
0x1a2	0x316331
0x1a6	0x65623731343631
0x1b8	0x30353635623830
0x1c3	0x6135636235
0x1c9	0x313436
0x1d9	0x33326435396231
0x1e7	0x3537383036
0x1f0	0x3839623431
0x1fd	0x35373830363339
0x205	0x3934
0x21a	0x30353635623830
0x226	0x3939386262
0x23c	0x3934
0x241	0x313136313031
0x252	0x3934
0x257	0x313436313035
0x25e	0x64353738303633
0x26a	0x36313231343631
0x27e	0x3038
0x28a	0x6435
0x293	0x36616238343131
0x2a8	0x30353635623830
0x2b4	0x3939386262
0x2c0	0x66353738303633
0x2cb	0x65353637
0x2f5	0x63666436
0x2fb	0x313436
0x302	0x6235373631
0x30a	0x30353635623830
0x319	0x6464313136
0x322	0x33353738
0x32f	0x6464313436
0x338	0x6435373830
0x343	0x643833313134
0x34e	0x62353738303633
0x358	0x383732
0x35c	0x6431343631
0x365	0x3537383036
0x370	0x646238
0x37a	0x3335
0x382	0x30353635623830
0x39a	0x35353738303633
0x3a4	0x64646530333134
0x3bb	0x613762333134
0x3c6	0x613537
0x3d1	0x62313563
0x3e1	0x363030
0x3e8	0x64356236313032
0x40b	0x353736
0x414	0x64356238313031
0x43d	0x646335
0x443	0x363034
0x46c	0x33356236313032
0x475	0x36313065613535
0x47f	0x363034
0x4c9	0x383338
0x4d7	0x35373830383230
0x4ff	0x353035
0x517	0x31363830313536
0x522	0x6335
0x543	0x3033
0x559	0x353039
0x572	0x33356236313033
0x594	0x3035373630
0x59e	0x64356238313031
0x5b0	0x66666666666666
0x5b8	0x66666666666666
0x5c0	0x66666666666666
0x5c8	0x66666666666666
0x5d0	0x66666666666666
0x607	0x34333536356236
0x63e	0x33356236313033
0x66a	0x64356238313031
0x67c	0x66666666666666
0x684	0x66666666666666
0x68c	0x66666666666666
0x694	0x66666666666666
0x69c	0x66666666666666
0x6bf	0x35613536356236
0x70f	0x383338
0x71c	0x3235
0x745	0x353035
0x75d	0x31363830313536
0x768	0x66353738
0x789	0x3033
0x79f	0x353039
0x7b8	0x33356236313033
0x7c0	0x353631313537
0x7cb	0x363034
0x7f4	0x33356236313034
0x803	0x3536356236
0x838	0x33356236313034
0x864	0x64356238313031
0x876	0x66666666666666
0x87e	0x66666666666666
0x886	0x66666666666666
0x88e	0x66666666666666
0x896	0x66666666666666
0x8b6	0x66666666666666
0x8be	0x66666666666666
0x8c6	0x66666666666666
0x8ce	0x66666666666666
0x8d6	0x66666666666666
0x90e	0x3535363562
0x944	0x33356236313034
0x94c	0x353630303438
0x966	0x393537
0x970	0x64356238313031
0x982	0x66666666666666
0x98a	0x66666666666666
0x992	0x66666666666666
0x99a	0x66666666666666
0x9a2	0x66666666666666
0x9cb	0x363034
0x9fc	0x33356236313035
0xa28	0x64356238313031
0xa3a	0x66666666666666
0xa42	0x66666666666666
0xa4a	0x66666666666666
0xa52	0x66666666666666
0xa5a	0x66666666666666
0xa7f	0x353635623630
0xaac	0x33356236313035
0xab5	0x36313138656135
0xabf	0x363034
0xae8	0x33356236313035
0xaf0	0x31363030
0xb0b	0x353736
0xb14	0x64356238313031
0xb26	0x66666666666666
0xb2e	0x66666666666666
0xb36	0x66666666666666
0xb3e	0x66666666666666
0xb46	0x66666666666666
0xb7e	0x30353635623630
0xbb4	0x33356236313035
0xbbc	0x333631316263
0xbc3	0x3536356236
0xbf8	0x33356236313036
0xc24	0x64356238313031
0xc36	0x66666666666666
0xc3e	0x66666666666666
0xc46	0x66666666666666
0xc4e	0x66666666666666
0xc56	0x66666666666666
0xca1	0x6433353635
0xca7	0x303035
0xcab	0x363130
0xccb	0x353736
0xcd4	0x64356238313031
0xce6	0x66666666666666
0xcee	0x66666666666666
0xcf6	0x66666666666666
0xcfe	0x66666666666666
0xd06	0x66666666666666
0xd2a	0x63353635
0xd2f	0x363034
0xd58	0x33356236313036
0xd60	0x663630303438
0xd7a	0x33353736
0xd84	0x64356238313031
0xd96	0x66666666666666
0xd9e	0x66666666666666
0xda6	0x66666666666666
0xdae	0x66666666666666
0xdb6	0x66666666666666
0xddf	0x363034
0xe08	0x33356236313037
0xe11	0x3631323236
0xe1b	0x363034
0xe44	0x33356236313037
0xe4d	0x363132
0xe52	0x353536
0xe57	0x363034
0xe64	0x66666666666666
0xe6c	0x66666666666666
0xe74	0x66666666666666
0xe7c	0x66666666666666
0xe84	0x66666666666666
0xe90	0x66666666666666
0xe98	0x66666666666666
0xea0	0x66666666666666
0xea8	0x66666666666666
0xeb0	0x66666666666666
0xed8	0x33356236313037
0xee6	0x6535363562
0xf1c	0x33356236313037
0xf2f	0x363034
0xf79	0x383338
0xf86	0x3735373830
0xfaa	0x633536
0xfaf	0x353035
0xfc7	0x31363830313536
0xff3	0x3033
0x1009	0x353039
0x1022	0x33356236313038
0x102b	0x3631
0x1030	0x3335363562
0x1066	0x33356236313038
0x1089	0x3537
0x1092	0x64356238313031
0x10a4	0x66666666666666
0x10ac	0x66666666666666
0x10b4	0x66666666666666
0x10bc	0x66666666666666
0x10c4	0x66666666666666
0x1101	0x363034
0x1132	0x33356236313038
0x113a	0x3236
0x1145	0x363034
0x1176	0x33356236313039
0x1198	0x3235373630
0x11a2	0x64356238313031
0x11b4	0x66666666666666
0x11bc	0x66666666666666
0x11c4	0x66666666666666
0x11cc	0x66666666666666
0x11d4	0x66666666666666
0x120c	0x3835363562
0x1242	0x33356236313039
0x124b	0x363030343830
0x126e	0x64356238313031
0x1280	0x66666666666666
0x1288	0x66666666666666
0x1290	0x66666666666666
0x1298	0x66666666666666
0x12a0	0x66666666666666
0x12d8	0x663536356230
0x12e1	0x363130
0x12e6	0x323630
0x130a	0x64356238313031
