0x1bb
0x269
0x2ef
0x30a
0x356
0x3b0
0x3f6
0x478
0x584
0x624
0x6c8
0x7ac
0x89c
0xa8c
0xbac
0xbb1
0xc56
0xdd5
0xf26
0x10a6
0x131b
0x146e
0x1544
0x1a13
0x1bde
0x1c37
0x1e38
0x1f45
0x207a
0x2235
0x2514
0x2713
0x27c3
0x2b0b
0x2b73
0x2b85
