0x1ba
0x1bf
0x228
0x231
0x29a
0x364
0x36d
0x435
0x441
0x510
0x515
0x534
0x53f
0x560
0x681
0x74d
0x96a
0x96f
0xcc4
0xecc
0xeea
0x105c
0x10ea
0x11a0
0x11f4
0x12dc
0x1356
0x13e4
0x149a
0x14bc
0x1536
0x1540
0x155c
0x1566
0x158a
0x1594
0x15da
0x1791
0x17c2
0x17f6
0x1801
0x184a
0x18e0
0x1a7b
0x1aac
0x1c59
0x1c8a
0x1cbe
0x1cde
0x1d76
0x2220
0x2255
0x2286
0x22bf
0x22c6
0x23e9
0x241a
0x2437
0x2448
0x29a4
0x29df
0x2a10
0x2ac2
0x2aec
0x2b30
0x2b87
0x2c9b
0x2e0d
0x2e3e
0x2e4c
0x2e6c
0x314f
0x3180
0x33ae
0x345a
0x3462
0x34f8
0x3518
0x3649
0x367a
0x38f5
0x3926
0x3b29
0x3b5a
0x3d5d
0x3d8e
0x3eaf
0x3ee0
0x414c
0x419a
0x4208
0x423d
