0x0	__function_selector__
0x111	fallback()
0x111	batchLock_63efZf()
0x116	allWalletBalances(address)
0x187	disableBundlingMultitoken(uint256)
0x1a1	unpause()
0x1b6	paused()
0x1df	deploy(uint256,bytes)
0x23d	multitokensCount()
0x264	renounceOwnership()
0x279	disableChangesMultitoken(uint256)
0x291	pause()
0x2a6	makeCall(address,uint256,bytes)
0x30f	owner()
0x340	deployers(uint256)
0x358	deleteDeployer(uint256)
0x370	enableBundlingMultitoken(uint256)
0x388	deployersCount()
0x39d	multitokens(uint256)
0x3b5	allMultitokens()
0x3ca	deleteMultitoken(uint256)
0x3e2	setDeployer(uint256,address)
0x406	transferOwnership(address)
0x540	0x540
0x884	0x884
0x985	0x985
0xa7e	0xa7e
0xaaa	0xaaa
0xbcb	0xbcb
0xc57	0xc57
0xcca	0xcca
0x1060	0x1060
