0x0	__function_selector__
0x1f8	name()
0x283	approve(address,uint256)
0x2b9	creationBlock()
0x2de	totalSupply()
0x303	setLocked(bool)
0x31d	transferFrom(address,address,uint256)
0x359	balances(address)
0x38a	removeMinter(address)
0x3ab	decimals()
0x3d4	initialSupply()
0x3f9	issuers(address)
0x42c	mint(address,uint256)
0x460	claim()
0x485	standard()
0x510	allowed(address,address)
0x547	setClaimableToken(address)
0x568	balanceOf(address)
0x599	acceptOwnership()
0x5ae	setEmissions(uint256[])
0x5ff	owner()
0x62e	symbol()
0x6b9	addMinter(address)
0x6da	transfer(address,uint256)
0x710	removeTokenEmission(uint256)
0x728	transferFrozen()
0x74f	calculateEmissionTokens(uint256,uint256,uint256,uint256)
0x780	transfer(address,uint256,bytes)
0x7f9	addTokenEmission(uint256,uint256,uint256)
0x817	approveAndCall(address,uint256,bytes)
0x890	emissions(uint256)
0x8d2	createdAt()
0x8f7	locked()
0x91e	newOwner()
0x94d	maxSupply()
0x972	allowance(address,address)
0x9a9	lastClaims(address)
0x9da	setTransferFrozen(bool)
0x9f4	transferOwnership(address)
0xa15	emitTokensSince()
0xa3a	minters(address)
0xa6d	transfer(address,uint256,bytes,string)
0xb28	claimableToken()
0xb57	updateTokenEmission(uint256,uint256,uint256,uint256)
0xb78	0xb78
0xc16	0xc16
0xc9c	0xc9c
0xca3	0xca3
0xcd1	0xcd1
0xddd	0xddd
0xee0	0xee0
0x10a0	0x10a0
0x1250	0x1250
0x1366	0x1366
0x1395	0x1395
0x1434	0x1434
0x1836	0x1836
0x197e	0x197e
0x1995	0x1995
0x19af	0x19af
0x1a2f	0x1a2f
0x1b10	0x1b10
0x1cc8	0x1cc8
0x1ce4	0x1ce4
0x1d85	0x1d85
0x2207	0x2207
0x222c	0x222c
0x2270	0x2270
