0xccd
0xcdf
0xd37
0xd93
0xd96
0xdd5
0xedc
0xf49
0x108b
0x108c
0x117d
0x11d6
0x123e
0x133a
0x1347
0x1353
0x1387
0x142e
0x163a
0x1697
0x16da
0x1793
0x17ee
0x17f0
0x1829
0x1973
0x19a4
0x19f8
0x1a24
0x1a40
0x1b02
0x1b06
0x1c5c
0x211e
0x2122
0x21c8
