0xbccV0x203	0xbe30xb78B0x203
0xb780xc01V0x203	0xbf10xb78B0x203
0xcb6V0x30e	0xcbeB0x30e
0xe44V0x490	0xc0e0xdddB0x490
0xe29V0x490	0xc0e0xdddB0x490
0xe31V0x490	0xbe30xdddB0x490
0xddd0xc01V0x490	0xbf10xdddB0x490
0x1107V0x639	0xc0e0x10a0B0x639
0x10ecV0x639	0xc0e0x10a0B0x639
0x10f4V0x639	0xbe30x10a0B0x639
0x10a00xc01V0x639	0xbf10x10a0B0x639
0x1373V0x78b	0x137bB0x78b
0x137cV0x78b	0x1387B0x78b
0x1383V0x78b	0x1a05B0x78b
0x1449V0x822	0x138d0x1434B0x822
0x1441V0x822	0x144dB0x822
0x145bV0x822	0x138d0x1434B0x822
0x1507V0x822	0x1524B0x822
0x14e3V0x822	0x14f7B0x822
0x153dV0x822	0x1545B0x822
0x154eV0x822	0x1556B0x822
0x155eV0x822	0x138d0x1434B0x822
0x14f3V0x822	0x14deB0x822
0x2236V0xf9a	0x142e0x222cB0xf9a
0x229fV0x223aV0xf9a	0x2276B0x223aB0xf9a
0x2271V0x223aV0xf9a	0xca00x2270B0x223aB0xf9a
0x227bV0x223aV0xf9a	0x22a3B0x223aB0xf9a
0x1a6cV0x328	0x1b06B0x328
0x1a85V0x328	0x1b06B0x328
0x1abdV0x328	0x1b06B0x328
0xcd4V0x328	0xcdfB0x328
0xcdbV0x328	0x179aB0x328
0x17c3V0x328	0x17cdB0x328
0x17c9V0x328	0x1a4dB0x328
0x17d2V0x328	0x17f0B0x328
0x1a57V0x328	0x1a5cB0x328
0x1a64V0x328	0x1a70B0x328
0x1a7dV0x328	0x1a89B0x328
0x1ab5V0x328	0x1ac1B0x328
0x1ad1V0x328	0x1b02B0x328
0x229fV0x2207V0xf80	0x2276B0x2207B0xf80
0x2271V0x2207V0xf80	0xca00x2270B0x2207B0xf80
0x227bV0x2207V0xf80	0x22a3B0x2207B0xf80
0x13a8V0x804	0x13b0B0x804
0x2236V0x13b0V0x804	0x142e0x222cB0x13b0B0x804
0x229fV0x223aV0x13b0V0x804	0x2276B0x223aB0x13b0B0x804
0x2271V0x223aV0x13b0V0x804	0xca00x2270B0x223aB0x13b0B0x804
0x227bV0x223aV0x13b0V0x804	0x22a3B0x223aB0x13b0B0x804
