0x0	0xb
0xb	0x25
0xf17	0xf49
0x127b	0x1287
0x18b7	0x18d7
0x1bf6	0x1c47
0xe0	0xeb
0xc16	0xc25
0xcfb	0xd12
0xd5f	0xd85
0xd9d	0xdb0
0xe98	0xeaf
0xeff	0xf17
0xf4c	0xf64
0x113e	0x1155
0x1181	0x118f
0x11df	0x11f6
0x156b	0x1578
0x15cc	0x15f3
0x160b	0x1622
0x163e	0x1655
0x16b6	0x16c7
0x16f8	0x170f
0xc2c	0xc900xc16
0xd16	0xd37
0xd93	0xd96
0xdd5	0xdd8
0x1836	0x1846
0xeb3	0xedc
0xf49	0xf4a
0xf75	0xf7c
0xf8c	0xf90
0x108b	0x108c
0xfab	0xfbc
0xfd4	0xff1
0xff2	0x100f
0x1010	0x102d
0x102e	0x103e
0x1044	0x1047
0x1047	0x1083
0xf90	0xf9a
0x1159	0x117d
0x1190	0x119c
0x11a0	0x11b1
0x11c0	0x11cd
0x11d1	0x11d6
0x11fa	0x1204
0x1208	0x1218
0x1219	0x122a
0x1269	0x1270
0x197e	0x1989
0x1353	0x1357
0x1288	0x1299
0x12af	0x12bc
0x1347	0x1348
0x133a	0x133b
0x12d0	0x12d7
0x1995	0x19a3
0x132b	0x133a
0x1270	0x127b
0x1579	0x158a
0x1626	0x163a
0x1659	0x166a
0x166e	0x1697
0x16da	0x16e0
0x1713	0x171d
0x1721	0x1730
0x1731	0x1742
0x1755	0x1766
0x177c	0x178d
0x1829	0x182f
0x1b10	0x1b1a
0x186b	0x1873
0x1894	0x18b7
0x18d7	0x18df
0x18f3	0x18ff
0x192d	0x1932
0x1be4	0x1bf6
0x1946	0x1952
0x1973	0x1976
0x198a	0x198f
0x1cc8	0x1cd5
0x19f8	0x19fb
0x1ce4	0x1cf1
0x1a40	0x1a43
0x1b3c	0x1b43
0x1b89	0x1bde
0x1c60	0x1cc2
0x1c4b	0x1c58
0x1c5c	0x1c60
0x1cd6	0x1cdd
0x1d00	0x1d07
0x1cfd	0x1d00
0x1d49	0x1d53
0x1d70	0x1d76
0x1d98	0x1da9
0x1dad	0x1db5
0x1e03	0x1e25
0x21d8	0x21f4
0x1e94	0x1edf
0x1ef6	0x1eff
0x1d85	0x1d94
0x21c8	0x21cc
0x1f07	0x1f0d
0x21f8	0x2201
0x2122	0x2123
0x2040	0x20a7
0x1f51	0x1fca
0x1f31	0x1f3a
0x1fe3	0x1ff7
0x1fca	0x1fd3
0x2010	0x2037
0x20c0	0x20d4
0x20a7	0x20b0
0x20ed	0x2109
0x210d	0x211a
0x211e	0x2122
0x2154	0x21c8
0x2134	0x213d
0x1f8	0x1ff
0x283	0x28a
0x2b9	0x2c0
0x2de	0x2e5
0x303	0x30a
0x31d	0x324
0x359	0x360
0x38a	0x391
0x3ab	0x3b2
0x3d4	0x3db
0x3f9	0x400
0x42c	0x433
0x460	0x467
0x485	0x48c
0x510	0x517
0x547	0x54e
0x568	0x56f
0x599	0x5a0
0x5ae	0x5b5
0x5ff	0x606
0x62e	0x635
0x6b9	0x6c0
0x6da	0x6e1
0x710	0x717
0x728	0x72f
0x74f	0x756
0x780	0x787
0x7f9	0x800
0x817	0x81e
0x890	0x897
0x8d2	0x8d9
0x8f7	0x8fe
0x91e	0x925
0x94d	0x954
0x972	0x979
0x9a9	0x9b0
0x9da	0x9e1
0x9f4	0x9fb
0xa15	0xa1c
0xa3a	0xa41
0xa6d	0xa74
0xb28	0xb2f
0xb57	0xb5e
0x25	0x30
0x30	0x3b
0x3b	0x46
0x46	0x51
0x51	0x5c
0x5c	0x67
0x67	0x72
0x72	0x7d
0x7d	0x88
0x88	0x93
0x93	0x9e
0x9e	0xa9
0xa9	0xb4
0xb4	0xbf
0xbf	0xca
0xca	0xd5
0xd5	0xe0
0xeb	0xf6
0xf6	0x101
0x101	0x10c
0x10c	0x117
0x117	0x122
