0x24	0x66666666666666	320
0x24	0x353738303633	320
0x24	0x333662306233	320
0x24	0x64356236313031	320
0x24	0x64356236313033	320
0x24	0x6633383333	320
0x24	0x3532396165	320
0x24	0x383630303030	320
0x24	0x63333738646161	320
0x24	0x3865343439	320
0x103	0x3635	320
0x103	0x3761	20
0x18c	0x66666666666666	320
0x18c	0x353738303633	320
0x18c	0x333662306233	320
0x18c	0x64356236313031	320
0x18c	0x64356236313033	320
0x18c	0x6633383333	320
0x18c	0x3532396165	320
0x18c	0x383630303030	320
0x18c	0x63333738646161	320
0x18c	0x3865343439	320
0x2b1	0x66666666666666	320
0x2b1	0x353738303633	320
0x2b1	0x333662306233	320
0x2b1	0x64356236313031	320
0x2b1	0x64356236313033	320
0x2b1	0x6633383333	320
0x2b1	0x3532396165	320
0x2b1	0x383630303030	320
0x2b1	0x63333738646161	320
0x2b1	0x3865343439	320
0x568	0x66666666666666	320
0x568	0x353738303633	320
0x568	0x333662306233	320
0x568	0x64356236313031	320
0x568	0x64356236313033	320
0x568	0x6633383333	320
0x568	0x3532396165	320
0x568	0x383630303030	320
0x568	0x63333738646161	320
0x568	0x3865343439	320
0x5e0	0x66666666666666	320
0x5e0	0x353738303633	320
0x5e0	0x333662306233	320
0x5e0	0x64356236313031	320
0x5e0	0x64356236313033	320
0x5e0	0x6633383333	320
0x5e0	0x3532396165	320
0x5e0	0x383630303030	320
0x5e0	0x63333738646161	320
0x5e0	0x3865343439	320
0x834	0x66666666666666	320
0x834	0x353738303633	320
0x834	0x333662306233	320
0x834	0x64356236313031	320
0x834	0x64356236313033	320
0x834	0x6633383333	320
0x834	0x3532396165	320
0x834	0x383630303030	320
0x834	0x63333738646161	320
0x834	0x3865343439	320
0x169f	0x353135	320
0x16c5	0x363435	320
0x16d9	0x373135	320
0x170b	0x386135	320
0x1b23	0x363030	320
0x1c30	0x3761	320
0x1c4c	0x66666666666666	320
0x1c4c	0x353738303633	320
0x1c4c	0x333662306233	320
0x1c4c	0x64356236313031	320
0x1c4c	0x64356236313033	320
0x1c4c	0x6633383333	320
0x1c4c	0x3532396165	320
0x1c4c	0x383630303030	320
0x1c4c	0x63333738646161	320
0x1c4c	0x3865343439	320
0x720	0x66666666666666	320
0x720	0x353738303633	320
0x720	0x333662306233	320
0x720	0x64356236313031	320
0x720	0x64356236313033	320
0x720	0x6633383333	320
0x720	0x3532396165	320
0x720	0x383630303030	320
0x720	0x63333738646161	320
0x720	0x3865343439	320
0x742	0x3033	320
0xdda	0x393235	946026339
0xe21	0x363030	320
0x10ac	0x3033	318
0x10ac	0x3031	320
0x1123	0x66666666666666	320
0x1123	0x353738303633	320
0x1123	0x333662306233	320
0x1123	0x64356236313031	320
0x1123	0x64356236313033	320
0x1123	0x6633383333	320
0x1123	0x3532396165	320
0x1123	0x383630303030	320
0x1123	0x63333738646161	320
0x1123	0x3865343439	320
0x1192	0x3033	320
0x1281	0x363030	320
0x12ae	0x3033	320
0x1627	0x66666666666666	320
0x1627	0x353738303633	320
0x1627	0x333662306233	320
0x1627	0x64356236313031	320
0x1627	0x64356236313033	320
0x1627	0x6633383333	320
0x1627	0x3532396165	320
0x1627	0x383630303030	320
0x1627	0x63333738646161	320
0x1627	0x3865343439	320
0x168c	0x3033	320
0x16f2	0x66666666666666	320
0x16f2	0x353738303633	320
0x16f2	0x333662306233	320
0x16f2	0x64356236313031	320
0x16f2	0x64356236313033	320
0x16f2	0x6633383333	320
0x16f2	0x3532396165	320
0x16f2	0x383630303030	320
0x16f2	0x63333738646161	320
0x16f2	0x3865343439	320
0x16fa	0x66666666666666	320
0x16fa	0x353738303633	320
0x16fa	0x333662306233	320
0x16fa	0x64356236313031	320
0x16fa	0x64356236313033	320
0x16fa	0x6633383333	320
0x16fa	0x3532396165	320
0x16fa	0x383630303030	320
0x16fa	0x63333738646161	320
0x16fa	0x3865343439	320
0x1769	0x66666666666666	320
0x1769	0x353738303633	320
0x1769	0x333662306233	320
0x1769	0x64356236313031	320
0x1769	0x64356236313033	320
0x1769	0x6633383333	320
0x1769	0x3532396165	320
0x1769	0x383630303030	320
0x1769	0x63333738646161	320
0x1769	0x3865343439	320
0x1824	0x3033	320
0x19d5	0x66666666666666	320
0x19d5	0x353738303633	320
0x19d5	0x333662306233	320
0x19d5	0x64356236313031	320
0x19d5	0x64356236313033	320
0x19d5	0x6633383333	320
0x19d5	0x3532396165	320
0x19d5	0x383630303030	320
0x19d5	0x63333738646161	320
0x19d5	0x3865343439	320
0x1aca	0x3033	320
0x1c06	0x66666666666666	320
0x1c06	0x353738303633	320
0x1c06	0x333662306233	320
0x1c06	0x64356236313031	320
0x1c06	0x64356236313033	320
0x1c06	0x6633383333	320
0x1c06	0x3532396165	320
0x1c06	0x383630303030	320
0x1c06	0x63333738646161	320
0x1c06	0x3865343439	320
