0x1d	0x30313030
0x5e	0x66666666666666
0x71	0x32353134
0x7b	0x35373830
0x84	0x6333616232
0x90	0x353537
0x9c	0x35643231343631
0xa7	0x35373830363362
0xb1	0x623834
0xbd	0x35373830363362
0xc7	0x3364306331
0xda	0x653961
0xe8	0x353537
0xf0	0x666435613137
0xfe	0x61353735
0x103	0x356233
0x115	0x303035
0x119	0x333431
0x12c	0x64356236313030
0x135	0x36313032326435
0x13f	0x363034
0x168	0x33356233343135
0x174	0x30353736
0x17e	0x64356236313031
0x187	0x3630303438
0x21b	0x303035
0x21f	0x333431
0x229	0x3537
0x232	0x64356236313031
0x26f	0x35363562363034
0x29c	0x33356233343135
0x2a9	0x3537
0x2b2	0x64356236313031
0x2c5	0x303035
0x2c9	0x333431
0x2d3	0x35373630303038
0x2dc	0x64356236313031
0x2e5	0x363030
0x2f2	0x66666666666666
0x2fa	0x66666666666666
0x302	0x66666666666666
0x30a	0x66666666666666
0x312	0x66666666666666
0x332	0x32353635
0x337	0x363034
0x368	0x33356233343135
0x374	0x30353736
0x37e	0x64356236313031
0x386	0x38363130
0x38c	0x323536356230
0x395	0x333431
0x39e	0x3535373630
0x3a8	0x64356236313032
0x3b1	0x363030
0x453	0x3536356230
0x45b	0x363030
0x467	0x363030
0x47f	0x3930
0x486	0x66666666666666
0x48e	0x66666666666666
0x496	0x66666666666666
0x49e	0x66666666666666
0x4a6	0x66666666666666
0x4b2	0x66666666666666
0x4ba	0x66666666666666
0x4c2	0x66666666666666
0x4ca	0x66666666666666
0x4d2	0x66666666666666
0x4e0	0x66666666666666
0x4e8	0x66666666666666
0x4f0	0x66666666666666
0x4f8	0x66666666666666
0x500	0x66666666666666
0x51e	0x64356236303030
0x52b	0x383135
0x53b	0x3537
0x55c	0x313537
0x560	0x65356239303630
0x57a	0x66666666666666
0x582	0x66666666666666
0x58a	0x66666666666666
0x592	0x66666666666666
0x59a	0x66666666666666
0x5a6	0x66666666666666
0x5ae	0x66666666666666
0x5b6	0x66666666666666
0x5be	0x66666666666666
0x5c6	0x66666666666666
0x5f7	0x3831
0x600	0x66303231393136
0x61b	0x383038
0x635	0x356235
0x63f	0x363030
0x669	0x35363562363030
0x67f	0x383438
0x68d	0x353736
0x69d	0x383038
0x6b3	0x35363562383139
0x6bf	0x353035
0x6cf	0x363030
0x6dc	0x66666666666666
0x6e4	0x66666666666666
0x6ec	0x66666666666666
0x6f4	0x66666666666666
0x6fc	0x66666666666666
0x708	0x66666666666666
0x710	0x66666666666666
0x718	0x66666666666666
0x720	0x66666666666666
0x728	0x66666666666666
0x75f	0x3930
0x766	0x66313631353135
0x772	0x663537
0x77c	0x64356235623536
0x785	0x363030
0x7b5	0x3930
0x7bc	0x66313638313536
0x7c5	0x363030
0x7d2	0x66666666666666
0x7da	0x66666666666666
0x7e2	0x66666666666666
0x7ea	0x66666666666666
0x7f2	0x66666666666666
0x7fe	0x66666666666666
0x806	0x66666666666666
0x80e	0x66666666666666
0x816	0x66666666666666
0x81e	0x66666666666666
0x855	0x3930
0x85c	0x66313631353135
0x869	0x3537
0x872	0x64356235623536
0x87b	0x363030
0x88c	0x66666666666666
0x894	0x66666666666666
0x89c	0x66666666666666
0x8a4	0x66666666666666
0x8ac	0x66666666666666
0x8b8	0x66666666666666
0x8c0	0x66666666666666
0x8c8	0x66666666666666
0x8d0	0x66666666666666
0x8d8	0x66666666666666
0x90f	0x3930
0x916	0x66313631353135
0x92c	0x64356236303030
0x939	0x383235
0x949	0x3537
0x960	0x333537
0x964	0x65356239303630
0x97e	0x66666666666666
0x986	0x66666666666666
0x98e	0x66666666666666
0x996	0x66666666666666
0x99e	0x66666666666666
0x9ac	0x63383339303831
0x9d8	0x31393335303530
0x9ec	0x63353736303030
0x9f6	0x64356235623830
0xa11	0x35363562
0xa17	0x353035
0xa22	0x3136
0xa29	0x3761
0xa34	0x36613438633732
0xa3d	0x6334
0xa41	0x3032336333
0xa49	0x373834
0xa4e	0x64373733
0xa53	0x66613332343864
0xa5e	0x65373366
0xa63	0x376265346631
0xa73	0x303032
