0xdc
0x33e
0x410
0x49a
0x9e4
0x1314
0x132b
0x15dc
0x167c
0x16a6
0x16de
0x18ec
0x194a
0x1a05
0x1ac9
0x1b52
0x1be2
0x1ce4
0x1da8
0x1ea8
0x22ce
0x24ac
0x24d6
0x2864
0x292c
0x298f
0x2995
0x2a7d
0x2b10
0x2ba0
0x2caa
0x3049
0x31c4
0x3220
0x32eb
0x3333
0x3373
