0xef
0x12a
0x12f
0x1ea
0x27a
0x2a2
0x330
0x41f
0x445
0x45c
0x489
0x4a0
0x553
0x73f
0x85f
0x943
0x9bc
0xacd
0xc83
0xcd6
0xd4f
0xdcf
0xe62
0x107f
0x10c4
