0xf6
0x16f
0x23f
0x26d
0x29a
0x2a6
0x2bc
0xeee
0xfec
0x101a
0x10c8
0x114a
0x146c
0x149a
0x1552
0x1580
0x1b4c
0x1c01
0x1e77
0x2493
0x2620
0x2637
0x2698
0x26c4
0x28ca
0x28e2
0x2904
0x2ad8
0x2b3a
0x2b87
0x2cdc
0x2fb8
0x305a
0x30de
0x3166
0x31a5
0x333e
0x3402
0x3440
0x3459
0x3462
0x349a
0x34bc
0x36a1
0x3a33
0x3d1a
0x3d6c
0x4063
0x40a4
0x40f3
0x42d8
0x4327
0x447e
0x467a
0x4870
0x490e
0x4950
0x4a05
0x4bb9
0x4dac
0x5111
0x555c
0x574a
0x5782
0x5955
0x5d8d
0x608c
0x639b
0x659d
0x6644
0x66fb
0x67a4
0x6854
