0xef
0x229
0x407
0x41e
0x47f
0x4bc
0x4c1
0x4f8
0x503
0x528
0x572
0x653
0x674
0x6a4
0x6be
0x708
0x766
0x76f
0x7e3
0x861
0xb07
0xb78
0xbd4
0xbdf
0xcdd
0xd07
0x1001
0x109e
0x1159
0x11c3
0x11d5
0x1218
0x1250
0x129d
0x1318
0x13e6
0x1428
0x14b8
0x14c8
0x1551
0x1558
0x157a
0x158a
0x15ac
0x163a
0x1793
0x17cc
0x1869
0x18a2
0x18d1
0x193a
0x1941
0x19d2
0x1a14
0x1a38
0x1b15
0x1c78
0x1cca
0x1d27
0x1d8a
0x1d96
0x1e62
0x1eb8
0x1f20
0x1fe6
0x206e
0x2151
0x223d
0x2329
0x2415
0x2501
0x260b
0x2717
0x2821
0x292d
0x2a39
0x2b43
0x2c4d
0x2d11
0x2d54
0x2dd5
0x2e99
0x2f5d
0x3021
0x30e5
0x31a9
0x326d
0x3294
0x3315
0x334e
0x339d
0x366c
0x3887
0x38e1
0x3a55
0x3df7
0x3e8f
0x407f
0x40c0
0x4114
0x41e3
0x4256
0x4264
0x42e3
0x431c
0x4370
0x43c3
0x43fd
