0xd4
0xde
0x156
0x1e4
0xb9a
0xbee
0x1224
0x14f4
0x152e
0x1552
0x1596
0x1841
0x1bdc
0x1c86
0x1cb0
0x20ee
0x22fc
0x235a
0x2415
0x24d9
0x2562
0x25f2
0x26f6
0x27b8
0x2c42
0x2d0a
0x2d6d
0x2d73
0x2eee
0x2f7e
0x30d7
0x3226
0x332e
0x3444
0x3462
0x347c
0x3498
0x35ea
0x3622
0x37a4
0x394a
0x3b36
0x3d46
0x3f98
0x3fc2
0x40b8
0x43e8
0x4444
0x45f6
0x46df
0x47ab
