0x2ad
0x374
0x392
0x3c3
0x3e2
0x428
0x490
0x50a
0x5c7
0x5e6
0x680
0x687
0x6a6
0x6ad
0x6cc
0x6d3
0x6f9
0x718
0x71f
0x788
0x78f
0x7ae
0x7b5
0x7db
0x81f
0x83e
0x845
0x883
0x8a2
0x8a9
0x8cf
0x8f5
0x914
0x91b
0x93c
0x941
0x960
0x967
0x993
0x9d7
0xa1b
0xa3a
0xa41
0xa8b
0xac9
0xb7e
0xb9c
0xbe5
0xc02
0xc85
0xc9c
0xef0
0x1014
0x10c1
0x126c
0x130d
0x137c
0x13aa
0x1469
0x14f6
0x1570
0x16e4
0x17bc
0x17ef
0x1876
0x18ce
0x19bd
0x1a65
0x1d38
0x1d62
0x1eb0
0x1f37
0x2248
0x240d
0x2666
0x277d
0x280b
0x282d
