0x1ed
0x257
0x2d5
0x383
0x4d2
0x4e3
0x5b2
0x5b9
0x5d8
0x5df
0x5fe
0x61d
0x740
0x745
0x763
0x7f1
0x82a
0x854
0x8cd
0x96d
0x9a6
0x9cd
0x9f9
0xb6c
0xbde
0xc68
0xd9e
0xf8c
0xfd6
0xfed
0x113b
0x1190
0x1323
0x13a4
0x1400
0x1416
0x1436
0x1454
0x1476
0x1480
0x15e8
0x16db
0x177b
0x1800
0x18a3
0x18dc
0x192b
0x19bf
0x19e8
0x19f8
0x1a22
0x1a82
0x1aa3
0x1ad5
0x1af9
