0x14f
0x18a
0x330
0x474
0x4cc
0x51e
0x58c
0x597
0x612
0x662
0xb12
0xce5
0x1487
0x14f7
0x1594
0x15a4
0x1823
0x1c25
0x234f
0x2635
0x2912
0x2925
0x2958
