0x1e	0x64356235303630
0x31	0x353736
0x3c	0x303163383036
0x4a	0x613131363130
0x52	0x3235
0x5a	0x3435
0x5e	0x32643731
0x70	0x3435
0x74	0x32643731
0x7e	0x30353738
0x86	0x3930
0x8b	0x62623134
0x9c	0x6132
0xa1	0x316131343631
0xab	0x35373830
0xb2	0x353736
0xb8	0x353134363130
0xc0	0x383537383036
0xc8	0x6436326564
0xcf	0x313436313036
0xdf	0x353635
0xe3	0x383036
0xee	0x613134363130
0x10d	0x35373830363337
0x116	0x3038
0x122	0x353537383036
0x12c	0x3839623431
0x139	0x3537363130
0x141	0x353635
0x145	0x383036
0x14c	0x383732
0x150	0x6431313631
0x158	0x6535373830
0x162	0x383732
0x166	0x6431343631
0x16f	0x35373830363332
0x177	0x34643464
0x184	0x3535373830
0x18d	0x306632363235
0x1a5	0x65353637
0x1b1	0x3537363130
0x1b9	0x353635
0x1bd	0x383036
0x1c4	0x64646530333134
0x1db	0x613762333134
0x1f3	0x6464313436
0x1fc	0x39353738303633
0x205	0x33356563363431
0x217	0x363030
0x21e	0x64356236313031
0x22c	0x3035363562
0x27b	0x383338
0x2ad	0x3536356235
0x2c9	0x31363830313536
0x2f5	0x3033
0x30b	0x353039
0x324	0x33356236313031
0x32c	0x6636303034
0x346	0x3935
0x350	0x64356238313031
0x362	0x66666666666666
0x36a	0x66666666666666
0x372	0x66666666666666
0x37a	0x66666666666666
0x382	0x66666666666666
0x3bf	0x363034
0x3f0	0x33356236313032
0x403	0x363034
0x42c	0x33356236313032
0x435	0x3630303438
0x44f	0x3537363030
0x458	0x64356238313031
0x49b	0x303035
0x49f	0x363130
0x4a4	0x623630
0x4c8	0x64356238313031
0x4da	0x66666666666666
0x4e2	0x66666666666666
0x4ea	0x66666666666666
0x4f2	0x66666666666666
0x4fa	0x66666666666666
0x51a	0x66666666666666
0x522	0x66666666666666
0x52a	0x66666666666666
0x532	0x66666666666666
0x53a	0x66666666666666
0x572	0x663536356236
0x5a8	0x33356236313033
0x5ca	0x623537363030
0x5d4	0x64356238313031
0x5e6	0x66666666666666
0x5ee	0x66666666666666
0x5f6	0x66666666666666
0x5fe	0x66666666666666
