0xbb	0x6635	320
0x2f9b	0x636335	785969
0x2f9b	0x666335	589361
0x2f9b	0x633537	797743
0x2f9b	0x363131	3747893
0x2fd6	0x3761	320
0x2ff8	0x66666666666666	362202827
0x2ff8	0x66663864	791711334
0x2ff8	0x366465656661	362202827
0x2ff8	0x64356236303030	362202827
0x2ff8	0x66666631393930	362202827
0x2ff8	0x66666639313930	362202827
0x2ff8	0x66666631363931	362202827
0x2ff8	0x65356236303030	362202827
0x2ff8	0x66666631393136	362202827
0x2ff8	0x65346133353864	362202827
0x2ff8	0x346133353864	362202827
0x2ff8	0x32393361393136	362202827
0x2ff8	0x37323861613835	362202827
0x2ff8	0x373961383562	362202827
0x2ff8	0x64316664	828727398
0x2ff8	0x63626166	842294628
0x6f	0x66663864	320
0x9a	0x666663	320
0x177	0x66666666666666	320
0x177	0x366465656661	320
0x177	0x64356236303030	320
0x177	0x66666631393930	320
0x177	0x66666639313930	320
0x177	0x66666631363931	320
0x177	0x65356236303030	320
0x177	0x66666631393136	320
0x177	0x65346133353864	320
0x177	0x346133353864	320
0x177	0x32393361393136	320
0x177	0x37323861613835	320
0x177	0x373961383562	320
0x3a2	0x3036	317
0x3a2	0x3033	320
0x595	0x66666666666666	875966768
0x595	0x66663864	1305475275
0x595	0x366465656661	875966768
0x595	0x34363130	2147483647
0x595	0x64356236303030	875966768
0x595	0x66666631393930	875966768
0x595	0x66666639313930	875966768
0x595	0x66666631363931	875966768
0x595	0x65356236303030	875966768
0x595	0x36353835	2113992954
0x595	0x66666631393136	875966768
0x595	0x65346133353864	875966768
0x595	0x346133353864	875966768
0x595	0x32393361393136	875966768
0x595	0x37323861613835	875966768
0x595	0x373961383562	875966768
0x595	0x64316664	1342491339
0x595	0x63626166	1356058569
0x8f8	0x3036	317
0x8f8	0x3033	320
0xdb6	0x66666666666666	320
0xdb6	0x366465656661	320
0xdb6	0x64356236303030	320
0xdb6	0x66666631393930	320
0xdb6	0x66666639313930	320
0xdb6	0x66666631363931	320
0xdb6	0x65356236303030	320
0xdb6	0x66666631393136	320
0xdb6	0x65346133353864	320
0xdb6	0x346133353864	320
0xdb6	0x32393361393136	320
0xdb6	0x37323861613835	320
0xdb6	0x373961383562	320
0xea8	0x3036	317
0xea8	0x3033	320
0xeb6	0x3036	320
0x1090	0x66666666666666	320
0x1090	0x366465656661	320
0x1090	0x64356236303030	320
0x1090	0x66666631393930	320
0x1090	0x66666639313930	320
0x1090	0x66666631363931	320
0x1090	0x65356236303030	320
0x1090	0x66666631393136	320
0x1090	0x65346133353864	320
0x1090	0x346133353864	320
0x1090	0x32393361393136	320
0x1090	0x37323861613835	320
0x1090	0x373961383562	320
0x10ba	0x66666666666666	320
0x10ba	0x366465656661	320
0x10ba	0x64356236303030	320
0x10ba	0x66666631393930	320
0x10ba	0x66666639313930	320
0x10ba	0x66666631363931	320
0x10ba	0x65356236303030	320
0x10ba	0x66666631393136	320
0x10ba	0x65346133353864	320
0x10ba	0x346133353864	320
0x10ba	0x32393361393136	320
0x10ba	0x37323861613835	320
0x10ba	0x373961383562	320
0x1404	0x3036	317
0x1404	0x3033	320
0x14fa	0x3931	320
0x1532	0x66666666666666	320
0x1532	0x366465656661	320
0x1532	0x64356236303030	320
0x1532	0x66666631393930	320
0x1532	0x66666639313930	320
0x1532	0x66666631363931	320
0x1532	0x65356236303030	320
0x1532	0x66666631393136	320
0x1532	0x65346133353864	320
0x1532	0x346133353864	320
0x1532	0x32393361393136	320
0x1532	0x37323861613835	320
0x1532	0x373961383562	320
0x15dc	0x3631	320
0x15dc	0x3635	316
0x15dc	0x3761	16
0x1762	0x66666666666666	320
0x1762	0x366465656661	320
0x1762	0x64356236303030	320
0x1762	0x66666631393930	320
0x1762	0x66666639313930	320
0x1762	0x66666631363931	320
0x1762	0x65356236303030	320
0x1762	0x66666631393136	320
0x1762	0x65346133353864	320
0x1762	0x346133353864	320
0x1762	0x32393361393136	320
0x1762	0x37323861613835	320
0x1762	0x373961383562	320
0x185a	0x66666666666666	320
0x185a	0x366465656661	320
0x185a	0x64356236303030	320
0x185a	0x66666631393930	320
0x185a	0x66666639313930	320
0x185a	0x66666631363931	320
0x185a	0x65356236303030	320
0x185a	0x66666631393136	320
0x185a	0x65346133353864	320
0x185a	0x346133353864	320
0x185a	0x32393361393136	320
0x185a	0x37323861613835	320
0x185a	0x373961383562	320
0x1926	0x66666666666666	320
0x1926	0x366465656661	320
0x1926	0x64356236303030	320
0x1926	0x66666631393930	320
0x1926	0x66666639313930	320
0x1926	0x66666631363931	320
0x1926	0x65356236303030	320
0x1926	0x66666631393136	320
0x1926	0x65346133353864	320
0x1926	0x346133353864	320
0x1926	0x32393361393136	320
0x1926	0x37323861613835	320
0x1926	0x373961383562	320
0x1b4c	0x3036	317
0x1b4c	0x3033	320
0x1c68	0x3036	317
0x1c68	0x3033	320
0x1d82	0x3036	317
0x1d82	0x3033	320
0x1eca	0x3036	317
0x1eca	0x3033	320
0x1fa1	0x66666666666666	320
0x1fa1	0x366465656661	320
0x1fa1	0x64356236303030	320
0x1fa1	0x66666631393930	320
0x1fa1	0x66666639313930	320
0x1fa1	0x66666631363931	320
0x1fa1	0x65356236303030	320
0x1fa1	0x66666631393136	320
0x1fa1	0x65346133353864	320
0x1fa1	0x346133353864	320
0x1fa1	0x32393361393136	320
0x1fa1	0x37323861613835	320
0x1fa1	0x373961383562	320
0x2006	0x3036	317
0x2006	0x3033	320
0x2132	0x66666666666666	320
0x2132	0x366465656661	320
0x2132	0x64356236303030	320
0x2132	0x66666631393930	320
0x2132	0x66666639313930	320
0x2132	0x66666631363931	320
0x2132	0x65356236303030	320
0x2132	0x66666631393136	320
0x2132	0x65346133353864	320
0x2132	0x346133353864	320
0x2132	0x32393361393136	320
0x2132	0x37323861613835	320
0x2132	0x373961383562	320
0x23ba	0x3036	317
0x23ba	0x3033	320
0x24dc	0x3036	317
0x24dc	0x3033	320
0x2527	0x313538	320
0x2628	0x3036	317
0x2628	0x3033	320
0x2788	0x66666666666666	320
