0x4c52	0x64356236313037	320
0x4c52	0x64356236313061	320
0x4c52	0x64356236313062	320
0x4c52	0x3035386630	320
0x4c52	0x66303231393136	320
0x4c52	0x64356236303030	320
0x4c52	0x353766653562	320
0x4c52	0x63333738646161	320
0x4c52	0x323464373138	320
0x4c52	0x656333633031	320
0x4c52	0x64356236313239	320
0x4c52	0x64356236313265	320
0x5141	0x3535	320
0x52d6	0x66666666666666	320
0x52d6	0x31353738303633	320
0x52d6	0x353738303633	320
0x52d6	0x64356236313036	320
0x52d6	0x64356236313037	320
0x52d6	0x64356236313061	320
0x52d6	0x64356236313062	320
0x52d6	0x3035386630	320
0x52d6	0x66303231393136	320
0x52d6	0x64356236303030	320
0x52d6	0x353766653562	320
0x52d6	0x63333738646161	320
0x52d6	0x323464373138	320
0x52d6	0x656333633031	320
0x52d6	0x64356236313239	320
0x52d6	0x64356236313265	320
0x54e5	0x363030	320
0x565b	0x333235	320
0x570b	0x386135	320
0x570b	0x386264	17
0x57c1	0x653535	320
0x57e7	0x663835	320
0x5bcc	0x66666666666666	320
0x5bcc	0x31353738303633	320
0x5bcc	0x353738303633	320
0x5bcc	0x64356236313036	320
0x5bcc	0x64356236313037	320
0x5bcc	0x64356236313061	320
0x5bcc	0x64356236313062	320
0x5bcc	0x3035386630	320
0x5bcc	0x66303231393136	320
0x5bcc	0x64356236303030	320
0x5bcc	0x353766653562	320
0x5bcc	0x63333738646161	320
0x5bcc	0x323464373138	320
0x5bcc	0x656333633031	320
0x5bcc	0x64356236313239	320
0x5bcc	0x64356236313265	320
0x61ac	0x66666666666666	320
0x61ac	0x31353738303633	320
0x61ac	0x353738303633	320
0x61ac	0x64356236313036	320
0x61ac	0x64356236313037	320
0x61ac	0x64356236313061	320
0x61ac	0x64356236313062	320
0x61ac	0x3035386630	320
0x61ac	0x66303231393136	320
0x61ac	0x64356236303030	320
0x61ac	0x353766653562	320
0x61ac	0x63333738646161	320
0x61ac	0x323464373138	320
0x61ac	0x656333633031	320
0x61ac	0x64356236313239	320
0x61ac	0x64356236313265	320
0x62e6	0x64316664	320
0x6482	0x3761	320
0x64c3	0x626237	320
0x26a	0x66666666666666	320
0x26a	0x31353738303633	320
0x26a	0x353738303633	320
0x26a	0x64356236313036	320
0x26a	0x64356236313037	320
0x26a	0x64356236313061	320
0x26a	0x64356236313062	320
0x26a	0x3035386630	320
0x26a	0x66303231393136	320
0x26a	0x64356236303030	320
0x26a	0x353766653562	320
0x26a	0x63333738646161	320
0x26a	0x323464373138	320
0x26a	0x656333633031	320
0x26a	0x64356236313239	320
0x26a	0x64356236313265	320
0x280	0x66666666666666	320
0x280	0x31353738303633	320
0x280	0x353738303633	320
0x280	0x64356236313036	320
0x280	0x64356236313037	320
0x280	0x64356236313061	320
0x280	0x64356236313062	320
0x280	0x3035386630	320
0x280	0x66303231393136	320
0x280	0x64356236303030	320
0x280	0x353766653562	320
0x280	0x63333738646161	320
0x280	0x323464373138	320
0x280	0x656333633031	320
0x280	0x64356236313239	320
0x280	0x64356236313265	320
0x285	0x393861	320
0xcc4	0x66666666666666	2147483647
0xcc4	0x31353738303633	2147483647
0xcc4	0x353738303633	2147483647
0xcc4	0x64356236313036	2147483647
0xcc4	0x64356236313037	2147483647
0xcc4	0x64356236313061	2147483647
0xcc4	0x64356236313062	2147483647
0xcc4	0x3035386630	2147483647
0xcc4	0x66303231393136	2147483647
0xcc4	0x64356236303030	2147483647
0xcc4	0x353766653562	2147483647
0xcc4	0x63333738646161	2147483647
0xcc4	0x323464373138	2147483647
0xcc4	0x656333633031	2147483647
0xcc4	0x64356236313239	2147483647
0xcc4	0x64356236313265	2147483647
0xee2	0x66666666666666	320
0xee2	0x31353738303633	320
0xee2	0x353738303633	320
0xee2	0x64356236313036	320
0xee2	0x64356236313037	320
0xee2	0x64356236313061	320
0xee2	0x64356236313062	320
0xee2	0x3035386630	320
0xee2	0x66303231393136	320
0xee2	0x64356236303030	320
0xee2	0x353766653562	320
0xee2	0x63333738646161	320
0xee2	0x323464373138	320
0xee2	0x656333633031	320
0xee2	0x64356236313239	320
0xee2	0x64356236313265	320
0x14c2	0x66666666666666	320
0x14c2	0x31353738303633	320
