0xcd
0xf2
0x17a
0x186
0x19c
0x1bd
0x390
0x4cc
0x59c
0x5e5
0x7cc
0x918
0x9a7
0xa44
0xaca
0xbec
0xc66
0xd42
0xeb6
0xf84
0x1066
0x1158
0x129e
0x1362
0x1382
0x143c
0x151c
0x15db
0x17fa
0x18f8
0x192f
0x19b6
0x19f9
0x1a61
0x1b00
0x1b0e
0x1bc8
0x1c7e
0x1d60
0x1db0
0x1dd3
0x1f70
0x2007
0x2033
0x20da
0x21d4
0x227f
0x228d
0x2312
0x247c
0x24bc
0x259e
0x2662
0x2736
0x287c
0x293e
0x294c
0x2a1a
0x2b0e
0x2bfa
0x2de6
0x2fa6
0x30d8
0x30e7
0x30f5
0x331e
0x334c
0x3360
