0xdd
0x1e1
0x20d
0x29e
0x2f8
0x311
0x4b0
0x4b7
0x54a
0x551
0x572
0x5e2
0x5e7
0x691
0x79e
0x7af
0x85f
0x885
0x927
0x948
0x94d
0x991
0x9b7
0x9f6
0x9fb
0xaf0
0xb03
0xba2
0xba9
0xc5d
0xd7b
0xe99
0xed2
0xed7
0x1081
0x1111
0x1184
0x11a2
0x11fc
0x1270
0x131c
0x13ca
0x1400
0x1444
0x14d7
0x1549
0x1578
0x1589
0x1590
0x15d3
0x1639
0x1713
0x1759
0x1824
0x1980
0x19c2
0x19fc
0x1a1a
0x1a21
0x1a72
0x1abd
0x1c8b
0x1cce
0x1d02
0x1d76
0x1daa
0x1e43
0x1ed2
0x1f52
0x1fce
0x2073
0x2103
0x214a
0x2321
0x23b8
0x260e
0x2644
0x2692
0x26d3
0x2793
0x292f
0x2938
0x2975
0x29bc
0x2a14
0x2a74
0x2afd
0x2b43
0x2b8a
0x2b94
0x2b99
0x2c7d
0x2d44
0x2e0e
0x2e88
0x2e99
0x2f29
0x2fb2
0x2fe3
0x30ed
0x31c8
0x3406
0x3426
0x3439
0x3440
0x3482
0x34a8
0x34be
0x34f3
0x34fa
0x3518
0x357a
0x3598
0x35fd
0x3619
0x3914
0x3966
0x39ce
0x39f8
0x3b87
0x3bcd
0x3d00
0x3d74
0x3f50
0x407d
0x413c
0x4300
0x44bd
0x44f6
0x4611
0x47c2
0x4919
0x4a37
0x4a59
