0x14b8	0x66666666666666
0x14c0	0x66666666666666
0x14c8	0x66666666666666
0x14d0	0x66666666666666
0x14d8	0x66666666666666
0x14e4	0x66666666666666
0x14ec	0x66666666666666
0x14f4	0x66666666666666
0x14fc	0x66666666666666
0x1504	0x66666666666666
0x1536	0x66666666666666
0x153e	0x66666666666666
0x1546	0x66666666666666
0x154e	0x66666666666666
0x1556	0x66666666666666
0x1564	0x66666666666666
0x156c	0x66666666666666
0x1574	0x66666666666666
0x157c	0x66666666666666
0x1584	0x66666666666666
0x158f	0x38633562653165
0x1598	0x626563376435
0x159f	0x643134
0x15a3	0x37313432376431
0x15ab	0x383466336464
0x15b6	0x30663762
0x15bf	0x356232303061
0x15c6	0x38633763
0x15cc	0x393235
0x15fa	0x3336
0x160f	0x363030
0x161b	0x363030
0x1623	0x396538
0x1634	0x66666666666666
0x163c	0x66666666666666
0x1644	0x66666666666666
0x164c	0x66666666666666
0x1654	0x66666666666666
0x1660	0x66666666666666
0x1668	0x66666666666666
0x1670	0x66666666666666
0x1678	0x66666666666666
0x1680	0x66666666666666
0x16ae	0x66666666666666
0x16b6	0x66666666666666
0x16be	0x66666666666666
0x16c6	0x66666666666666
0x16ce	0x66666666666666
0x16da	0x66666666666666
0x16e2	0x66666666666666
0x16ea	0x66666666666666
0x16f2	0x66666666666666
0x16fa	0x66666666666666
0x1726	0x31393039313930
0x1730	0x66666666666666
0x173d	0x363030
0x174a	0x66666666666666
0x1752	0x66666666666666
0x175a	0x66666666666666
0x1762	0x66666666666666
0x176a	0x66666666666666
0x1776	0x66666666666666
0x177e	0x66666666666666
0x1786	0x66666666666666
0x178e	0x66666666666666
0x1796	0x66666666666666
0x17c4	0x66666666666666
0x17cc	0x66666666666666
0x17d4	0x66666666666666
0x17dc	0x66666666666666
0x17e4	0x66666666666666
0x17f0	0x66666666666666
0x17f8	0x66666666666666
0x1800	0x66666666666666
0x1808	0x66666666666666
0x1810	0x66666666666666
0x1841	0x32393834
0x1853	0x363030
0x1869	0x363030
0x187f	0x3930
0x1886	0x66313638313536
0x188f	0x363130
0x1893	0x34663631
0x189f	0x363130
0x18a3	0x35383537
0x18ae	0x64356236303036
0x18c7	0x3930
0x18ce	0x66313636313063
0x18e0	0x64356236303030
0x18f7	0x3831
0x1900	0x66303231393136
0x191b	0x35646239656530
0x1923	0x3439
0x1927	0x663265
0x192c	0x66396339316137
0x1937	0x31626134
0x193c	0x64643234346135
0x1944	0x386161346535
0x194d	0x643338
0x1951	0x6561
0x1954	0x346230373361
0x195b	0x3333
0x196a	0x66666666666666
0x1972	0x66666666666666
0x197a	0x66666666666666
0x1982	0x66666666666666
0x198a	0x66666666666666
0x1996	0x66666666666666
0x199e	0x66666666666666
0x19a6	0x66666666666666
0x19ae	0x66666666666666
0x19b6	0x66666666666666
0x19de	0x3135
0x19e3	0x363030
0x19eb	0x3435383236
0x19fc	0x66666666666666
0x1a04	0x66666666666666
0x1a0c	0x66666666666666
0x1a14	0x66666666666666
0x1a1c	0x66666666666666
0x1a28	0x66666666666666
0x1a30	0x66666666666666
0x1a38	0x66666666666666
0x1a40	0x66666666666666
0x1a48	0x66666666666666
0x1a74	0x31393039313930
0x1a7e	0x66666666666666
0x1a8b	0x363030
0x1a98	0x66666666666666
0x1aa0	0x66666666666666
0x1aa8	0x66666666666666
0x1ab0	0x66666666666666
0x1ab8	0x66666666666666
0x1ac4	0x66666666666666
0x1acc	0x66666666666666
0x1ad4	0x66666666666666
0x1adc	0x66666666666666
0x1ae4	0x66666666666666
0x1b15	0x3964383236
0x1b24	0x31393039313930
0x1b2e	0x66666666666666
0x1b3b	0x363030
0x1b4c	0x66666666666666
0x1b54	0x66666666666666
0x1b5c	0x66666666666666
0x1b64	0x66666666666666
0x1b6c	0x66666666666666
0x1b77	0x63633136663564
0x1b7f	0x623438
0x1b8b	0x31656530
0x1b91	0x6264303637
0x1b99	0x66666363
0x1ba4	0x66376137
0x1baa	0x3066
0x1bad	0x6237356433
0x1bb5	0x61353833
0x1be2	0x3236
0x1bf5	0x363130
0x1bf9	0x303236313132
0x1c05	0x363130
0x1c09	0x306235373630
0x1c14	0x64356238303630
0x1c31	0x323139323931
0x1c3e	0x30353635
