0x10b
0x176
0x1f0
0x280
0x336
0x36f
0x3ff
0x420
0x425
0x43c
0x480
0x524
0x533
0x651
0x865
0x92a
0xb39
0xdcd
0xdf9
0xe32
0xe9f
