0x0	__function_selector__
0xc4	fallback()
0xc4	batchLock_63efZf()
0xe1	OWNER()
0x112	MANAGER()
0x127	bets(uint256)
0x167	currentIndex()
0x18e	withdraw(uint256)
0x1a6	maxBet()
0x1bb	configure(uint256,uint256)
0x1d6	minBet()
0x1eb	totalBets()
0x200	deposit()
0x208	lockBalance()
0x21d	FEE_PERCENT()
0x232	betsOfBlock()
0x645	0x645
0x735	0x735
0x754	0x754
0x77d	0x77d
