0x150	0x166	0	0	32
0x158	0x166	32	0	32
0x15c	0x166	64	0	32
0x291	0x296	0	0	32
0x31b	0x7db	0	0	32
0x328	0x348	0	0	32
0x32f	0x395	0	0	32
0x336	0x3bd	0	0	32
0x416	0x41c	0	0	32
0x426	0x495	0	0	32
0x426	0x4a9	0	0	32
0x43b	0x545	0	0	32
0x43b	0x54d	0	0	32
0x447	0x461	0	0	32
0x447	0x553	0	0	32
0x453	0x47a	0	0	32
0x453	0x490	0	0	32
0x4b0	0x4bb	0	0	32
0x55d	0x5b2	0	0	32
0x56f	0x5b2	32	0	32
0x573	0x5b2	64	0	32
0x57a	0x5b2	96	0	32
0x581	0x5b2	128	0	32
0x587	0x5b2	160	0	32
0x617	0x61c	0	0	32
0x7e1	0x420	0	0	32
0x1070xe1	0x1110xe1	0	0	32
0x1070x112	0x1110x112	0	0	32
0x1830x167	0x18d0x167	0	0	32
0x1830x1a6	0x18d0x1a6	0	0	32
0x1830x1d6	0x18d0x1d6	0	0	32
0x1830x1eb	0x18d0x1eb	0	0	32
0x1830x208	0x18d0x208	0	0	32
0x1830x21d	0x18d0x21d	0	0	32
0x1830x232	0x18d0x232	0	0	32
0x7cb0x735	0x7cf0x735	0	0	320
0x7cb0x754	0x7cf0x754	0	0	320
0x7cb0x77d	0x7cf0x77d	0	0	320
