0xc4	0x0
0xe1	0x117803e3
0x112	0x1b2df850
0x127	0x22af00fa
0x167	0x26987b60
0x18e	0x2e1a7d4d
0x1a6	0x2e5b2168
0x1bb	0x3e32747a
0x1d6	0x9619367d
0x1eb	0xbefa1e2f
0x200	0xd0e30db0
0x208	0xe228ecb4
0x21d	0xeaf98d23
0x232	0xf2b7ca79
