0x8a
0x101
0x13c
0x16c
0x1e8
0x268
0x278
0x32e
0x3ac
0x47e
0x654
0x6e4
0x750
0x86e
0x941
0xa3b
0xb5b
0xb94
0xc43
0xc7c
0xca0
0xd6d
0xf05
0x1039
0x1072
0x1121
0x115a
0x11fb
0x127b
0x130e
0x13f2
0x1418
0x143a
0x14b4
0x1574
0x15d3
0x15da
0x16ab
0x17d7
0x1831
0x1848
0x186c
