0x16bb	0x653435	320
0x1c05	0x63333738646161	320
0x1c05	0x31303631306531	320
0x1c05	0x323535373832	320
0x1c05	0x646137366661	320
0x1c05	0x31366336303139	320
0x264e	0x3761	320
0x14e2	0x63333738646161	320
0x14e2	0x31303631306531	320
0x14e2	0x323535373832	320
0x14e2	0x646137366661	320
0x14e2	0x31366336303139	320
0x1c74	0x63333738646161	320
0x1c74	0x31303631306531	320
0x1c74	0x323535373832	320
0x1c74	0x646137366661	320
0x1c74	0x31366336303139	320
0x2074	0x63333738646161	320
0x2074	0x31303631306531	320
0x2074	0x323535373832	320
0x2074	0x646137366661	320
0x2074	0x31366336303139	320
0x2684	0x63333738646161	320
0x2684	0x31303631306531	320
0x2684	0x323535373832	320
0x2684	0x646137366661	320
0x2684	0x31366336303139	320
0x268d	0x63333738646161	320
0x268d	0x31303631306531	320
0x268d	0x323535373832	320
0x268d	0x646137366661	320
0x268d	0x31366336303139	320
