0xdd
0x1cf
0x20f
0x2dd
0x353
0x37f
0x423
0x444
0x449
0x531
0x557
0x61b
0x640
0x647
0x666
0x767
0x793
0x7b9
0x7df
0x805
0x890
0x8a3
0x8c4
0x8c9
0x9d4
0x9e7
0xa13
0xa39
0xa83
0xb25
0xc01
0xce1
0xdc2
0xe0a
0xe2a
0xe52
0xe8b
0xec0
0xf90
0x1071
0x10aa
0x1202
0x1220
0x1366
0x13a4
0x1416
0x1440
0x147c
0x148c
0x14de
0x14ee
0x1512
0x1522
0x1532
0x158b
0x16a3
0x1710
0x177c
0x18fe
0x195a
0x1a92
0x1ad4
0x1b1a
0x1b30
0x1bd3
0x1c0c
0x1dd4
0x1e04
0x1eb0
0x1f18
0x1fb5
0x1fee
0x2027
0x20b7
0x20df
0x20f0
0x2204
0x2242
0x227a
0x22d2
0x2358
0x2361
0x2386
0x23a4
0x23de
0x2460
0x2543
0x25ae
0x25f4
0x2798
0x27aa
0x27b4
0x2878
0x288f
0x28ab
0x28ca
