0x0	__function_selector__
0xba	fallback()
0xba	batchLock_63efZf()
0xbf	winnerIsB()
0xd6	betA()
0xe0	getInfoB(uint256)
0x154	betD()
0x15e	getInfoA(uint256)
0x1d2	close()
0x1e9	getInfo()
0x321	status(address)
0x3a6	betB()
0x3b0	winnerIsA()
0x3c7	getInfoD(uint256)
0x43b	winnerIsDraw()
