0xef	0x6435	320
0x125	0x31306631	1325662210
0x125	0x346634	2147483647
0x125	0x64356236313032	3434036
0x125	0x363030	2147366403
0x125	0x35373832	1258106369
0x125	0x64356236313038	3434036
0x125	0x633835363562	3434036
0x125	0x66303231393136	3434036
0x125	0x63333738646161	3434036
0x125	0x623133336631	3434036
0x125	0x6465306635	3434036
0x125	0x64356236313063	3434036
0x125	0x64356236303030	3434036
0x313	0x3335	320
0x10dc	0x64356236313032	320
0x10dc	0x64356236313038	320
0x10dc	0x633835363562	320
0x10dc	0x66303231393136	320
0x10dc	0x63333738646161	320
0x10dc	0x623133336631	320
0x10dc	0x6465306635	320
0x10dc	0x64356236313063	320
0x10dc	0x64356236303030	320
0x1509	0x363030	320
0x166f	0x336335	320
0x18dc	0x64356236313032	320
0x18dc	0x64356236313038	320
0x18dc	0x633835363562	320
0x18dc	0x66303231393136	320
0x18dc	0x63333738646161	320
0x18dc	0x623133336631	320
0x18dc	0x6465306635	320
0x18dc	0x64356236313063	320
0x18dc	0x64356236303030	320
0x1ca0	0x64356236313032	320
0x1ca0	0x64356236313038	320
0x1ca0	0x633835363562	320
0x1ca0	0x66303231393136	320
0x1ca0	0x63333738646161	320
0x1ca0	0x623133336631	320
0x1ca0	0x6465306635	320
0x1ca0	0x64356236313063	320
0x1ca0	0x64356236303030	320
0x270c	0x3761	320
0x111	0x31306631	320
0x484	0x64356236313032	2147483647
0x484	0x64356236313038	2147483647
0x484	0x633835363562	2147483647
0x484	0x66303231393136	2147483647
0x484	0x63333738646161	2147483647
0x484	0x623133336631	2147483647
0x484	0x6465306635	2147483647
0x484	0x64356236313063	2147483647
0x484	0x64356236303030	2147483647
0xd62	0x35373832	320
0x10ee	0x64356236313032	320
0x10ee	0x64356236313038	320
0x10ee	0x633835363562	320
0x10ee	0x66303231393136	320
0x10ee	0x63333738646161	320
0x10ee	0x623133336631	320
0x10ee	0x6465306635	320
0x10ee	0x64356236313063	320
0x10ee	0x64356236303030	320
0x11dc	0x64356236313032	320
0x11dc	0x64356236313038	320
0x11dc	0x633835363562	320
0x11dc	0x66303231393136	320
0x11dc	0x63333738646161	320
0x11dc	0x623133336631	320
0x11dc	0x6465306635	320
0x11dc	0x64356236313063	320
0x11dc	0x64356236303030	320
0x14a6	0x64356236313032	320
0x14a6	0x64356236313038	320
0x14a6	0x633835363562	320
0x14a6	0x66303231393136	320
0x14a6	0x63333738646161	320
0x14a6	0x623133336631	320
0x14a6	0x6465306635	320
0x14a6	0x64356236313063	320
0x14a6	0x64356236303030	320
0x169e	0x64356236313032	320
0x169e	0x64356236313038	320
0x169e	0x633835363562	320
0x169e	0x66303231393136	320
0x169e	0x63333738646161	320
0x169e	0x623133336631	320
0x169e	0x6465306635	320
0x169e	0x64356236313063	320
0x169e	0x64356236303030	320
0x16e4	0x64356236313032	320
0x16e4	0x64356236313038	320
0x16e4	0x633835363562	320
0x16e4	0x66303231393136	320
0x16e4	0x63333738646161	320
0x16e4	0x623133336631	320
0x16e4	0x6465306635	320
0x16e4	0x64356236313063	320
0x16e4	0x64356236303030	320
0x16eb	0x64356236313032	320
0x16eb	0x64356236313038	320
0x16eb	0x633835363562	320
0x16eb	0x66303231393136	320
0x16eb	0x63333738646161	320
0x16eb	0x623133336631	320
0x16eb	0x6465306635	320
0x16eb	0x64356236313063	320
0x16eb	0x64356236303030	320
0x22fc	0x64356236313032	320
0x22fc	0x64356236313038	320
0x22fc	0x633835363562	320
0x22fc	0x66303231393136	320
0x22fc	0x63333738646161	320
0x22fc	0x623133336631	320
0x22fc	0x6465306635	320
0x22fc	0x64356236313063	320
0x22fc	0x64356236303030	320
0x2670	0x64356236313032	320
0x2670	0x64356236313038	320
0x2670	0x633835363562	320
0x2670	0x66303231393136	320
0x2670	0x63333738646161	320
0x2670	0x623133336631	320
0x2670	0x6465306635	320
0x2670	0x64356236313063	320
0x2670	0x64356236303030	320
