0xad	0x3535	320
0x200	0x623335	320
0x200	0x623438	61
0x27b	0x6335	320
0xff7	0x363030	320
0xff7	0x363130	64
0x1509	0x323635	320
0x1daf	0x66666666666666	6435896
0x1daf	0x353738303633	6435896
0x1daf	0x66303231393136	6435896
0x1daf	0x63333738646161	6435896
0x1daf	0x623438	2147483647
0x1daf	0x31656530	1325190919
0x1daf	0x6237356433	6435896
0x1daf	0x32383335386333	6435896
0x1daf	0x3431323133	6435896
0x1daf	0x623133336631	6435896
0x1daf	0x6465306635	6435896
0x1daf	0x61353736303031	6435896
0x1daf	0x64356238313031	6435896
0x1daf	0x30373063363264	6435896
0x20ea	0x66666666666666	2147483647
0x20ea	0x353738303633	2147483647
0x20ea	0x66303231393136	2147483647
0x20ea	0x63333738646161	2147483647
0x20ea	0x6237356433	2147483647
0x20ea	0x32383335386333	2147483647
0x20ea	0x3431323133	2147483647
0x20ea	0x623133336631	2147483647
0x20ea	0x6465306635	2147483647
0x20ea	0x61353736303031	2147483647
0x20ea	0x64356238313031	2147483647
0x20ea	0x30373063363264	2147483647
0x30c8	0x3761	320
0x30fd	0x66666666666666	320
0x30fd	0x353738303633	320
0x30fd	0x66303231393136	320
0x30fd	0x63333738646161	320
0x30fd	0x6237356433	320
0x30fd	0x32383335386333	320
0x30fd	0x3431323133	320
0x30fd	0x623133336631	320
0x30fd	0x6465306635	320
0x30fd	0x61353736303031	320
0x30fd	0x64356238313031	320
0x30fd	0x30373063363264	320
0x1a4	0x66666666666666	320
0x1a4	0x353738303633	320
0x1a4	0x66303231393136	320
0x1a4	0x63333738646161	320
0x1a4	0x6237356433	320
0x1a4	0x32383335386333	320
0x1a4	0x3431323133	320
0x1a4	0x623133336631	320
0x1a4	0x6465306635	320
0x1a4	0x61353736303031	320
0x1a4	0x64356238313031	320
0x1a4	0x30373063363264	320
0x1212	0x66666666666666	320
0x1212	0x353738303633	320
0x1212	0x66303231393136	320
0x1212	0x63333738646161	320
0x1212	0x6237356433	320
0x1212	0x32383335386333	320
0x1212	0x3431323133	320
0x1212	0x623133336631	320
0x1212	0x6465306635	320
0x1212	0x61353736303031	320
0x1212	0x64356238313031	320
0x1212	0x30373063363264	320
0x128f	0x363130	320
0x1b14	0x66666666666666	320
0x1b14	0x353738303633	320
0x1b14	0x66303231393136	320
0x1b14	0x63333738646161	320
0x1b14	0x6237356433	320
0x1b14	0x32383335386333	320
0x1b14	0x3431323133	320
0x1b14	0x623133336631	320
0x1b14	0x6465306635	320
0x1b14	0x61353736303031	320
0x1b14	0x64356238313031	320
0x1b14	0x30373063363264	320
0x1dbc	0x31656530	320
0x1ddf	0x66666666666666	320
0x1ddf	0x353738303633	320
0x1ddf	0x66303231393136	320
0x1ddf	0x63333738646161	320
0x1ddf	0x6237356433	320
0x1ddf	0x32383335386333	320
0x1ddf	0x3431323133	320
0x1ddf	0x623133336631	320
0x1ddf	0x6465306635	320
0x1ddf	0x61353736303031	320
0x1ddf	0x64356238313031	320
0x1ddf	0x30373063363264	320
0x23eb	0x66666666666666	2147483647
0x23eb	0x353738303633	2147483647
0x23eb	0x66303231393136	2147483647
0x23eb	0x63333738646161	2147483647
0x23eb	0x6237356433	2147483647
0x23eb	0x32383335386333	2147483647
0x23eb	0x3431323133	2147483647
0x23eb	0x623133336631	2147483647
0x23eb	0x6465306635	2147483647
0x23eb	0x61353736303031	2147483647
0x23eb	0x64356238313031	2147483647
0x23eb	0x30373063363264	2147483647
0x241b	0x66666666666666	862085990
0x241b	0x353738303633	862085990
0x241b	0x66303231393136	862085990
0x241b	0x63333738646161	862085990
0x241b	0x6237356433	862085990
0x241b	0x32383335386333	862085990
0x241b	0x3431323133	862085990
0x241b	0x623133336631	862085990
0x241b	0x6465306635	862085990
0x241b	0x61353736303031	862085990
0x241b	0x64356238313031	862085990
0x241b	0x30373063363264	862085990
0x2470	0x66666666666666	320
0x2470	0x353738303633	320
0x2470	0x66303231393136	320
0x2470	0x63333738646161	320
0x2470	0x6237356433	320
0x2470	0x32383335386333	320
0x2470	0x3431323133	320
0x2470	0x623133336631	320
0x2470	0x6465306635	320
0x2470	0x61353736303031	320
0x2470	0x64356238313031	320
