0x60	0x3835373830
0x17	0x3537363366
0x1d	0x66666666666636
0x26	0x303630303230
0x2d	0x3630
0x3b	0x30323730
0x41	0x3831313436
0x4a	0x31353738
0x53	0x63666436
0x59	0x313436
0x68	0x353866633534
0x6f	0x31343631
0x76	0x643537356237
0x84	0x376333
0x8c	0x383032
0x90	0x37646261326338
0x99	0x63396365
0x9e	0x30663436
0xac	0x3036
0xb3	0x3033
0xc3	0x36643639366537
0x126	0x303630303230
0x12d	0x3930
0x13c	0x66666666666666
0x148	0x303630303230
0x14f	0x3032
0x175	0x6631
0x183	0x333438
0x18e	0x64353736
0x198	0x64356235303631
0x1a2	0x3636313031
0x1ad	0x303035
0x1b1	0x333438
0x1bc	0x343537363030
0x1c6	0x64356235303631
0x1d0	0x3636313031
0x1db	0x333438
0x1e6	0x39353736303030
0x1f0	0x64356235303631
0x1fb	0x363030313630
0x202	0x3036
0x209	0x3033
0x218	0x6335
0x21d	0x363034
0x242	0x33356236303030
0x254	0x3036
0x25b	0x3033
0x269	0x3537
0x272	0x64356235303733
0x27a	0x666638363730
0x281	0x66386239613662
0x28e	0x30623664343931
0x296	0x3338
0x29b	0x646232643838
0x2a4	0x66356236303030
0x2b6	0x3036
0x2bd	0x3033
0x2cb	0x353736
0x2d4	0x64356235303630
0x2f4	0x3036
0x2fb	0x3033
0x30a	0x63383431353032
0x324	0x31393335303530
0x33a	0x3835
0x33f	0x3630303038
0x347	0x336436303030
0x34e	0x64356235303530
0x359	0x363030
0x370	0x3036
0x377	0x3033
0x384	0x38353736
0x38e	0x64356236303430
0x39b	0x37306130383233
0x3fc	0x3036
0x403	0x3033
0x410	0x3038
0x441	0x313538
0x44d	0x35373630
0x456	0x64356235303561
0x45e	0x31313538303135
0x46f	0x3630303038
0x477	0x336436303030
0x47e	0x64356235303530
0x491	0x3630323038
0x4aa	0x64356235303531
0x4c3	0x61393035396362
0x4cb	0x303030
0x50e	0x3036
0x515	0x3033
0x54a	0x3930
0x54f	0x62623932
0x581	0x313538
0x58c	0x63353736
0x596	0x64356235303561
0x59e	0x31313538303135
0x5aa	0x303537336436
0x5b7	0x336436303030
0x5be	0x64356235303530
0x5d1	0x3630323038
0x5e0	0x36353736303030
0x5ea	0x64356235303531
0x602	0x3136
0x609	0x3761
0x618	0x34616664
0x61d	0x30663431613035
0x62b	0x36306264
0x631	0x30313261
0x636	0x31393336
0x63e	0x306365386638
0x648	0x6533
0x64b	0x6630366335
0x652	0x3330303239
