0xbb
0xfd
0x1d5
0x218
0x24f
0x411
0x438
0x533
0x5b3
0x5cf
0x680
0x82b
0x84e
0xa0f
0xc8d
0xc98
0xd1a
0xe6b
0xe8e
0xf75
0x10fa
0x114a
0x1189
0x1234
0x1284
0x12b8
0x12c3
0x12e7
0x130d
0x1319
0x1343
