0x2af
0x340
0x356
0x386
0x391
0x436
0x5dc
0x8aa
0x94f
0x995
0x9db
0x9fa
0xa05
0xa89
0xaa0
0xafa
0xdbc
0xdc5
0xde4
0x109e
0x12fe
0x1303
0x137e
0x145e
0x1496
0x14f8
0x1501
0x1508
0x1662
0x1a61
0x1db9
0x1e9f
0x1f97
0x20d8
0x2131
0x2220
0x227a
0x25ed
0x261e
0x26d1
0x2804
0x2900
0x2924
0x2958
0x2bee
0x2d43
0x2e1a
0x2f5c
0x3082
0x3238
0x3249
0x3379
0x3440
0x3460
0x35c5
0x35cc
0x35e6
0x35f6
0x3620
0x36a2
0x3719
0x374a
0x38ce
0x3bce
0x3c2c
0x3de4
0x3fc3
0x409a
0x47bd
0x48c0
0x4e71
0x53c3
0x56a9
0x587d
0x589a
0x58f4
0x5910
0x5954
0x598c
0x59c8
0x5a72
0x5a92
0x5b3e
0x5b70
0x5ba2
0x5c00
0x5c6e
0x5cb6
0x5cf4
0x5da6
0x5dba
0x5dc4
0x5dec
0x5e10
0x5ee4
0x5f10
0x5fc5
0x5fd8
0x60b6
0x60f4
0x611e
0x618e
0x61a4
0x61b2
0x61d7
0x61ea
0x621e
0x6290
0x62bf
0x62dc
0x632f
0x6344
0x6356
