0x14f
0x826
0x9c4
0x9f3
0xb8f
0xc81
0xe7a
0xfac
0x108e
0x1095
0x10f0
0x11a9
0x1376
0x13ac
0x142a
0x1460
0x1471
0x1478
0x1488
0x14ba
0x14cb
0x14d2
0x14e2
0x1560
0x1696
0x17ae
0x18b7
0x1961
0x197c
