0x51	0x3435	320
0x863	0x39626266	320
0x956	0x3465393332	320
0x956	0x65356230343933	320
0x956	0x63303239333530	320
0x956	0x6663393563	320
0x956	0x31626533356135	320
0x956	0x63303239323930	320
0x956	0x65613236353632	320
0x956	0x38383237303436	320
0x956	0x32306139303362	320
0x95a	0x303331	14177
0x95a	0x3761	3158833
0x88	0x3465393332	2147483647
0x88	0x65356230343933	2147483647
0x88	0x63303239333530	2147483647
0x88	0x6663393563	2147483647
0x88	0x31626533356135	2147483647
0x88	0x63303239323930	2147483647
0x88	0x65613236353632	2147483647
0x88	0x38383237303436	2147483647
0x88	0x32306139303362	2147483647
0x28e	0x3465393332	320
0x28e	0x65356230343933	320
0x28e	0x63303239333530	320
0x28e	0x6663393563	320
0x28e	0x31626533356135	320
0x28e	0x63303239323930	320
0x28e	0x65613236353632	320
0x28e	0x38383237303436	320
0x28e	0x32306139303362	320
0x3d4	0x3465393332	320
0x3d4	0x65356230343933	320
0x3d4	0x63303239333530	320
0x3d4	0x6663393563	320
0x3d4	0x31626533356135	320
0x3d4	0x63303239323930	320
0x3d4	0x65613236353632	320
0x3d4	0x38383237303436	320
0x3d4	0x32306139303362	320
0x6c9	0x303331	320
0x803	0x3465393332	320
0x803	0x65356230343933	320
0x803	0x63303239333530	320
0x803	0x6663393563	320
0x803	0x31626533356135	320
0x803	0x63303239323930	320
0x803	0x65613236353632	320
0x803	0x38383237303436	320
0x803	0x32306139303362	320
0x843	0x3465393332	320
0x843	0x65356230343933	320
0x843	0x63303239333530	320
0x843	0x6663393563	320
0x843	0x31626533356135	320
0x843	0x63303239323930	320
0x843	0x65613236353632	320
0x843	0x38383237303436	320
0x843	0x32306139303362	320
0x8f6	0x3465393332	320
0x8f6	0x65356230343933	320
0x8f6	0x63303239333530	320
0x8f6	0x6663393563	320
0x8f6	0x31626533356135	320
0x8f6	0x63303239323930	320
0x8f6	0x65613236353632	320
0x8f6	0x38383237303436	320
0x8f6	0x32306139303362	320
0x98a	0x3465393332	2147483647
0x98a	0x65356230343933	2147483647
0x98a	0x63303239333530	2147483647
0x98a	0x6663393563	2147483647
0x98a	0x31626533356135	2147483647
0x98a	0x63303239323930	2147483647
0x98a	0x65613236353632	2147483647
0x98a	0x38383237303436	2147483647
0x98a	0x32306139303362	2147483647
0x994	0x3465393332	320
0x994	0x65356230343933	320
0x994	0x63303239333530	320
0x994	0x6663393563	320
0x994	0x31626533356135	320
0x994	0x63303239323930	320
0x994	0x65613236353632	320
0x994	0x38383237303436	320
0x994	0x32306139303362	320
