0xde
0x14f
0x3e4
0x3ed
0x47a
0x548
0x664
0x82e
0x99f
0xa27
0xa3e
0xc14
0xe74
0xeb4
0xf08
0xfc6
0x1086
0x13ef
0x13f6
0x141a
0x1522
0x1558
0x159c
0x1874
0x18b4
0x1908
0x1e0e
0x1e4e
0x1ea2
0x206c
0x20ac
0x2100
0x219c
0x2223
0x2282
0x2671
0x26d3
0x292a
0x296a
0x29be
0x2a5a
0x2bf7
0x2c1d
0x2e74
0x2eb4
0x2f08
0x2fc4
0x3026
0x307b
0x3124
0x3396
0x33de
0x33ef
