0x0	30
0xd	45
0xb0	6
0xc5	6
0xda	6
0x12f	6
0x192	6
0x1df	6
0x216	6
0x263	6
0x2ca	6
0x370	6
0x3a4	6
0x40d	240
0x485	6
0x5c6	6
0x5fa	6
0x74e	6
0x78a	6
0x828	6
0x85c	6
0x922	6
0x96f	19
0xa7e	6
0x1fa	0
0x39b	0
0x41d	0
0x4bb	0
0x5f1	0
0x683	0
0x853	0
0x919	0
0xae8	0
0xb09	0
0xb4	15
0xbc	1
0x314	285
0xc9	15
0xd1	1
0x56f	276
0xde	15
0xe6	62
0x650	251
0x133	49
0x149	62
0x675	235
0x196	55
0x1c2	50
0x6b4	279
0x1e3	15
0x1eb	38
0x6cc	251
0x1fb	44
0x21a	55
0x246	50
0x6df	279
0x267	55
0x293	1
0x6f7	276
0x2c1	1
0x7d1	276
0x2ce	55
0x2fa	62
0x8ef	38
0x374	32
0x381	265
0x39c	23
0x3a8	277
0x3c7	5655
0x3f5	14
0xadb	35
0x53e	792
0x41e	1083
0x489	244
0x4bc	1149
0x3fc	240
0x5ca	32
0x5d7	265
0x5f2	23
0x5fe	277
0x61d	5799
0x684	301
0x752	44
0x78e	5278
0x82c	32
0x839	265
0x854	23
0x860	298
0x8a9	5100
0xaf6	52
0x8ff	265
0x91a	23
0x926	304
0x977	11269
0xad5	19
0xa82	1198
0xae9	39
0xb0a	29
0xb47	12
0xb4a	12
0xb4d	12
0xb50	12
0xb53	12
0xb56	12
0xb59	12
0xb5c	12
0xb5f	12
0xb62	12
0xb65	12
0xa4	7
0xa9	19
0xbe	19
0xd3	19
0x128	19
0x18b	19
0x1d8	19
0x20f	19
0x25c	19
0x295	55
0x2c3	19
0x41	22
0x4c	22
0x57	22
0x62	22
0x6d	22
0x78	22
0x83	22
0x8e	22
0x99	22
