0x2fd
0x365
0x3ac
0x3d4
0x3dd
0x3f6
0x57c
0x5b2
0x5c0
0x62e
0x6e5
0x760
0x90b
0xa4a
0xb1c
0xb72
0xd6d
0xfbe
0xff2
0x10af
0x10c7
0x10dd
0x1168
0x134c
0x137a
0x1439
0x1440
0x145c
0x147c
0x14fb
0x15cc
0x16de
0x1796
0x192f
0x1982
0x198c
0x19de
0x19f3
0x1cb8
0x1d8e
0x1e1b
0x1ed9
0x1f5f
0x1f6d
0x1f8f
0x206d
0x2385
0x2401
0x2588
0x259f
0x25ac
0x25c8
0x2638
0x263e
0x2661
0x281d
0x2849
0x2876
0x298d
0x2bd8
0x2d40
0x2d83
0x2daa
0x2f48
0x2fbe
0x31be
0x33f0
0x341c
0x3446
0x345c
0x348f
0x34b1
0x34e3
