0xef	0x6635	320
0x57f	0x32363130	320
0xa9a	0x313436313035	320
0xa9a	0x64356236303030	320
0xa9a	0x64356236313032	320
0xa9a	0x64356236313035	320
0xa9a	0x31303631303661	320
0xa9a	0x66303231393136	320
0xa9a	0x64356238353531	320
0xa9a	0x63333738646161	320
0xa9a	0x613436363136	320
0xb3f	0x3435	320
0xe8d	0x363030	320
0x10cd	0x6435	320
0x12c5	0x3735	320
0x12c5	0x3761	276
0x14a9	0x613035	320
0x1647	0x323535	320
0x1c90	0x313436313035	320
0x1c90	0x64356236303030	320
0x1c90	0x64356236313032	320
0x1c90	0x64356236313035	320
0x1c90	0x31303631303661	320
0x1c90	0x66303231393136	320
0x1c90	0x64356238353531	320
0x1c90	0x63333738646161	320
0x1c90	0x613436363136	320
0x1dca	0x64316664	320
0x2cd6	0x3761	320
0x2ced	0x313436313035	320
0x2ced	0x64356236303030	320
0x2ced	0x64356236313032	320
0x2ced	0x64356236313035	320
0x2ced	0x31303631303661	320
0x2ced	0x66303231393136	320
0x2ced	0x64356238353531	320
0x2ced	0x63333738646161	320
0x2ced	0x613436363136	320
0x1b2	0x313436313035	2147483647
0x1b2	0x64356236303030	2147483647
0x1b2	0x64356236313032	2147483647
0x1b2	0x64356236313035	2147483647
0x1b2	0x31303631303661	2147483647
0x1b2	0x66303231393136	2147483647
0x1b2	0x64356238353531	2147483647
0x1b2	0x63333738646161	2147483647
0x1b2	0x613436363136	2147483647
0x51c	0x313436313035	320
0x51c	0x64356236303030	320
0x51c	0x64356236313032	320
0x51c	0x64356236313035	320
0x51c	0x31303631303661	320
0x51c	0x66303231393136	320
0x51c	0x64356238353531	320
0x51c	0x63333738646161	320
0x51c	0x613436363136	320
0xd29	0x313436313035	320
0xd29	0x64356236303030	320
0xd29	0x64356236313032	320
0xd29	0x64356236313035	320
0xd29	0x31303631303661	320
0xd29	0x66303231393136	320
0xd29	0x64356238353531	320
0xd29	0x63333738646161	320
0xd29	0x613436363136	320
0xfc2	0x313436313035	320
0xfc2	0x64356236303030	320
0xfc2	0x64356236313032	320
0xfc2	0x64356236313035	320
0xfc2	0x31303631303661	320
0xfc2	0x66303231393136	320
0xfc2	0x64356238353531	320
0xfc2	0x63333738646161	320
0xfc2	0x613436363136	320
0xffd	0x6361	320
0xffd	0x6435	108
0x126c	0x313436313035	320
0x126c	0x64356236303030	320
0x126c	0x64356236313032	320
0x126c	0x64356236313035	320
0x126c	0x31303631303661	320
0x126c	0x66303231393136	320
0x126c	0x64356238353531	320
0x126c	0x63333738646161	320
0x126c	0x613436363136	320
0x16dc	0x313436313035	320
0x16dc	0x64356236303030	320
0x16dc	0x64356236313032	320
0x16dc	0x64356236313035	320
0x16dc	0x31303631303661	320
0x16dc	0x66303231393136	320
0x16dc	0x64356238353531	320
0x16dc	0x63333738646161	320
0x16dc	0x613436363136	320
0x1870	0x313436313035	320
0x1870	0x64356236303030	320
0x1870	0x64356236313032	320
0x1870	0x64356236313035	320
0x1870	0x31303631303661	320
0x1870	0x66303231393136	320
0x1870	0x64356238353531	320
0x1870	0x63333738646161	320
0x1870	0x613436363136	320
0x18ba	0x30663364	320
0x279c	0x313436313035	320
0x279c	0x64356236303030	320
0x279c	0x64356236313032	320
0x279c	0x64356236313035	320
0x279c	0x31303631303661	320
0x279c	0x66303231393136	320
0x279c	0x64356238353531	320
0x279c	0x63333738646161	320
0x279c	0x613436363136	320
0x2c6c	0x313436313035	320
0x2c6c	0x64356236303030	320
0x2c6c	0x64356236313032	320
0x2c6c	0x64356236313035	320
0x2c6c	0x31303631303661	320
0x2c6c	0x66303231393136	320
0x2c6c	0x64356238353531	320
0x2c6c	0x63333738646161	320
0x2c6c	0x613436363136	320
