0x1ff	0x3435	320
0x32b	0x6635	320
0x94f	0x6335	320
0xf4d	0x6335	64
0xf4d	0x6235	320
0x15c3	0x346635	320
0x18ea	0x36633635	320
0x1a38	0x35373830363333	320
0x1a38	0x64356238313031	320
0x1a38	0x64356238303335	320
0x1a38	0x66313639303530	320
0x1a38	0x366637343230	320
0x1a38	0x64356236303030	320
0x1a38	0x66303231393136	320
0x1a38	0x32383136313137	320
0x1a38	0x3131623063	320
0x1a38	0x31303631313234	320
0x1a38	0x353239303931	320
0x1a38	0x646439303931	320
0x1a38	0x373336363635	320
0x1a38	0x63333738646161	320
0x1a38	0x65613136353632	320
0x1a38	0x3466386130	320
0x1a38	0x37383636313165	320
0x1a38	0x3333356536	320
0x1d46	0x36633635	320
0x20fe	0x36633635	320
0x22ec	0x363131	1681103204
0x22ec	0x36633635	772183136
0x22ec	0x356561	1681155380
0x22ec	0x653135	1678023008
0x22ec	0x37323635	758617184
0x22ec	0x666633	1677943906
0x2d46	0x3761	20
0x2d46	0x3635	320
0x2e77	0x363131	320
0x2f2b	0x363131	320
0x3037	0x6635	320
0x326a	0x3230	320
0x3278	0x35373830363333	320
0x3278	0x64356238313031	320
0x3278	0x64356238303335	320
0x3278	0x66313639303530	320
0x3278	0x366637343230	320
0x3278	0x64356236303030	320
0x3278	0x66303231393136	320
0x3278	0x32383136313137	320
0x3278	0x3131623063	320
0x3278	0x31303631313234	320
0x3278	0x353239303931	320
0x3278	0x646439303931	320
0x3278	0x373336363635	320
0x3278	0x63333738646161	320
0x3278	0x65613136353632	320
0x3278	0x3466386130	320
0x3278	0x37383636313165	320
0x3278	0x3333356536	320
0x328e	0x3761	20
0x328e	0x3635	320
0x38be	0x3761	2147483347
0x38be	0x35373830363333	13877
0x38be	0x6635	2147471359
0x38be	0x64356238313031	13877
0x38be	0x6335	2147472127
0x38be	0x64356238303335	13877
0x38be	0x363131	2143945987
0x38be	0x6235	2147472383
0x38be	0x346635	2144063487
0x38be	0x66313639303530	13877
0x38be	0x36633635	1235025919
0x38be	0x366637343230	13877
0x38be	0x64356236303030	13877
0x38be	0x66303231393136	13877
0x38be	0x32383136313137	13877
0x38be	0x356561	2143998163
0x38be	0x3131623063	13877
0x38be	0x31303631313234	13877
0x38be	0x353239303931	13877
0x38be	0x646439303931	13877
0x38be	0x3635	2147483647
0x38be	0x6630	2147471364
0x38be	0x653135	2140865791
0x38be	0x373336363635	13877
0x38be	0x63333738646161	13877
0x38be	0x37323635	1221459967
0x38be	0x65613136353632	13877
0x38be	0x666633	2140786689
0x38be	0x3466386130	13877
0x38be	0x37383636313165	13877
0x38be	0x3333356536	13877
0x393e	0x35373830363333	320
0x393e	0x64356238313031	320
0x393e	0x64356238303335	320
0x393e	0x66313639303530	320
0x393e	0x366637343230	320
0x393e	0x64356236303030	320
0x393e	0x66303231393136	320
0x393e	0x32383136313137	320
0x393e	0x3131623063	320
0x393e	0x31303631313234	320
0x393e	0x353239303931	320
0x393e	0x646439303931	320
0x393e	0x373336363635	320
0x393e	0x63333738646161	320
0x393e	0x65613136353632	320
0x393e	0x3466386130	320
0x393e	0x37383636313165	320
0x393e	0x3333356536	320
0x3a50	0x3761	20
0x3a50	0x3635	320
0x3d4a	0x3230	320
0x4294	0x35373830363333	320
0x4294	0x64356238313031	320
0x4294	0x64356238303335	320
0x4294	0x66313639303530	320
0x4294	0x366637343230	320
0x4294	0x64356236303030	320
0x4294	0x66303231393136	320
0x4294	0x32383136313137	320
0x4294	0x3131623063	320
0x4294	0x31303631313234	320
0x4294	0x353239303931	320
0x4294	0x646439303931	320
0x4294	0x373336363635	320
0x4294	0x63333738646161	320
0x4294	0x65613136353632	320
0x4294	0x3466386130	320
0x4294	0x37383636313165	320
0x4294	0x3333356536	320
0x4298	0x3761	320
0x42af	0x666633	320
0x42d5	0x35373830363333	320
0x42d5	0x64356238313031	320
0x42d5	0x64356238303335	320
0x42d5	0x66313639303530	320
0x42d5	0x366637343230	320
0x42d5	0x64356236303030	320
0x42d5	0x66303231393136	320
0x42d5	0x32383136313137	320
0x42d5	0x3131623063	320
0x42d5	0x31303631313234	320
0x42d5	0x353239303931	320
0x42d5	0x646439303931	320
0x42d5	0x373336363635	320
0x42d5	0x63333738646161	320
0x42d5	0x65613136353632	320
0x42d5	0x3466386130	320
0x42d5	0x37383636313165	320
0x42d5	0x3333356536	320
0xf5	0x35373830363333	320
0xf5	0x64356238313031	320
0xf5	0x64356238303335	320
0xf5	0x66313639303530	320
0xf5	0x366637343230	320
0xf5	0x64356236303030	320
0xf5	0x66303231393136	320
0xf5	0x32383136313137	320
0xf5	0x3131623063	320
0xf5	0x31303631313234	320
0xf5	0x353239303931	320
0xf5	0x646439303931	320
0xf5	0x373336363635	320
0xf5	0x63333738646161	320
0xf5	0x65613136353632	320
0xf5	0x3466386130	320
0xf5	0x37383636313165	320
0xf5	0x3333356536	320
0x3c6	0x35373830363333	320
0x3c6	0x64356238313031	320
0x3c6	0x64356238303335	320
0x3c6	0x66313639303530	320
0x3c6	0x366637343230	320
0x3c6	0x64356236303030	320
0x3c6	0x66303231393136	320
0x3c6	0x32383136313137	320
0x3c6	0x3131623063	320
0x3c6	0x31303631313234	320
0x3c6	0x353239303931	320
0x3c6	0x646439303931	320
0x3c6	0x373336363635	320
0x3c6	0x63333738646161	320
0x3c6	0x65613136353632	320
0x3c6	0x3466386130	320
0x3c6	0x37383636313165	320
0x3c6	0x3333356536	320
0x502	0x35373830363333	320
0x502	0x64356238313031	320
0x502	0x64356238303335	320
0x502	0x66313639303530	320
0x502	0x366637343230	320
0x502	0x64356236303030	320
0x502	0x66303231393136	320
0x502	0x32383136313137	320
0x502	0x3131623063	320
0x502	0x31303631313234	320
0x502	0x353239303931	320
0x502	0x646439303931	320
0x502	0x373336363635	320
0x502	0x63333738646161	320
0x502	0x65613136353632	320
0x502	0x3466386130	320
0x502	0x37383636313165	320
0x502	0x3333356536	320
0x6ec	0x35373830363333	320
0x6ec	0x64356238313031	320
0x6ec	0x64356238303335	320
0x6ec	0x66313639303530	320
0x6ec	0x366637343230	320
0x6ec	0x64356236303030	320
0x6ec	0x66303231393136	320
0x6ec	0x32383136313137	320
0x6ec	0x3131623063	320
0x6ec	0x31303631313234	320
0x6ec	0x353239303931	320
0x6ec	0x646439303931	320
0x6ec	0x373336363635	320
0x6ec	0x63333738646161	320
0x6ec	0x65613136353632	320
0x6ec	0x3466386130	320
0x6ec	0x37383636313165	320
0x6ec	0x3333356536	320
0x800	0x35373830363333	320
0x800	0x64356238313031	320
0x800	0x64356238303335	320
0x800	0x66313639303530	320
0x800	0x366637343230	320
0x800	0x64356236303030	320
0x800	0x66303231393136	320
0x800	0x32383136313137	320
0x800	0x3131623063	320
0x800	0x31303631313234	320
0x800	0x353239303931	320
0x800	0x646439303931	320
0x800	0x373336363635	320
0x800	0x63333738646161	320
0x800	0x65613136353632	320
0x800	0x3466386130	320
