0x1287	0x353035
0x1297	0x363030
0x12a4	0x3036
0x12ab	0x3033
0x12cf	0x363030
0x12e2	0x3036
0x12e9	0x3033
0x12fb	0x3630
0x1311	0x39313930363130
0x1319	0x646435
0x131f	0x363030
0x1332	0x3036
0x1339	0x3033
0x134b	0x3630
0x135d	0x356235
0x1365	0x363030
0x1369	0x3630
0x1389	0x363030
0x1395	0x363030
0x13a1	0x363030
0x13ae	0x3036
0x13b5	0x3033
0x13bf	0x363030
0x13cc	0x3036
0x13d3	0x3033
0x13dd	0x363030
0x1421	0x38313031383439
0x1458	0x35353738
0x1461	0x31303631303539
0x1469	0x3537
0x148e	0x35353635
0x1493	0x383230
0x14af	0x383135
0x14d2	0x3835
0x14df	0x31363832303139
0x14e9	0x353035
0x14f9	0x363030
0x1508	0x3036
0x150f	0x3033
0x1521	0x3937
0x152f	0x363030
0x153a	0x66666666666666
0x1542	0x66666666666666
0x154a	0x66666666666666
0x1552	0x66666666666666
0x155a	0x66666666666666
0x156c	0x3036
0x1573	0x3033
0x1581	0x356235
0x1589	0x363030
0x1598	0x3036
0x159f	0x3930
0x15a6	0x66313638303135
0x15b1	0x6566
0x15c6	0x3036
0x15cd	0x3033
0x15df	0x313536
0x15e5	0x6663
0x15f9	0x363030
0x1600	0x3036
0x1607	0x3033
0x161b	0x3630
0x1637	0x323535
0x164b	0x363030
0x1652	0x3036
0x1659	0x3033
0x166d	0x3630
0x168b	0x346635
0x169f	0x363030
0x16a6	0x3036
0x16ad	0x3033
0x16c3	0x3630
0x1719	0x64646632353261
0x1721	0x3162653263
0x1729	0x363963
0x172e	0x303638
0x1732	0x63333738646161
0x173d	0x613766
0x1744	0x34613131
0x174c	0x35356134646635
0x1756	0x336566
0x176c	0x3335
0x1775	0x393239
0x1781	0x363030
0x1785	0x363032
0x17bb	0x363030
0x17c3	0x653938
0x17cd	0x666635
0x17d3	0x313531
0x17db	0x663435
0x17e9	0x353038
0x17f3	0x393239
0x17ff	0x383138
0x1809	0x393239
0x1816	0x3136
0x181d	0x3761
0x182b	0x3336
0x182f	0x64656437
0x1836	0x3834
0x1839	0x66656239
0x1840	0x6437
0x1845	0x3731
0x1848	0x3538
0x184f	0x3966643031
0x1855	0x623061
0x185b	0x66386438
0x1862	0x36656130653030
